Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;304;290;320;225;213;238;.;.;.;.;.;.
03.03.2020;320;304;339;261;247;276;.;.;.;.;.;.
04.03.2020;450;433;470;326;311;343;.;.;.;.;.;.
05.03.2020;503;484;526;394;378;413;.;.;.;.;.;.
06.03.2020;759;737;785;508;489;530;2,26;2,18;2,34;2,35;2,30;2,39
07.03.2020;984;958;1013;674;653;698;2,59;2,51;2,67;2,56;2,52;2,61
08.03.2020;1337;1302;1368;896;870;923;2,75;2,68;2,83;2,93;2,89;2,98
09.03.2020;2021;1987;2060;1275;1246;1306;3,23;3,15;3,31;3,13;3,08;3,18
10.03.2020;2569;2529;2615;1728;1694;1764;3,40;3,31;3,49;3,21;3,18;3,26
11.03.2020;3237;3190;3279;2291;2252;2330;3,40;3,33;3,47;3,11;3,08;3,15
12.03.2020;3600;3549;3664;2857;2813;2904;3,19;3,14;3,24;2,84;2,82;2,86
13.03.2020;4361;4309;4414;3442;3394;3493;2,70;2,66;2,73;2,50;2,48;2,52
14.03.2020;4438;4383;4496;3909;3858;3963;2,26;2,23;2,29;2,18;2,17;2,20
15.03.2020;4674;4605;4736;4268;4211;4327;1,86;1,84;1,89;1,99;1,98;2,00
16.03.2020;6023;5958;6081;4874;4814;4932;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5233;5170;5297;5092;5029;5152;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5289;5231;5344;5305;5241;5364;1,36;1,34;1,37;1,40;1,39;1,40
