Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;303;289;319;225;213;237;.;.;.;.;.;.
03.03.2020;321;305;337;261;247;275;.;.;.;.;.;.
04.03.2020;450;432;467;326;311;341;.;.;.;.;.;.
05.03.2020;503;483;523;394;377;411;.;.;.;.;.;.
06.03.2020;760;734;785;508;489;528;2,26;2,17;2,36;2,35;2,29;2,40
07.03.2020;986;954;1014;675;651;697;2,59;2,51;2,69;2,56;2,51;2,62
08.03.2020;1335;1301;1370;896;868;923;2,75;2,68;2,84;2,93;2,88;2,99
09.03.2020;2021;1986;2060;1275;1244;1307;3,24;3,14;3,32;3,13;3,08;3,18
10.03.2020;2568;2531;2615;1727;1693;1765;3,40;3,31;3,48;3,21;3,17;3,26
11.03.2020;3235;3183;3280;2290;2250;2331;3,39;3,32;3,46;3,12;3,08;3,15
12.03.2020;3607;3556;3657;2858;2814;2903;3,19;3,13;3,24;2,84;2,81;2,87
13.03.2020;4360;4310;4419;3443;3395;3493;2,70;2,66;2,74;2,50;2,48;2,52
14.03.2020;4436;4382;4494;3910;3858;3962;2,26;2,23;2,29;2,18;2,17;2,20
15.03.2020;4676;4614;4731;4270;4215;4325;1,86;1,84;1,89;1,99;1,98;2,00
16.03.2020;6024;5957;6087;4874;4816;4932;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5230;5175;5291;5091;5032;5150;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5284;5217;5348;5303;5241;5364;1,36;1,35;1,37;1,39;1,39;1,40
19.03.2020;4725;4661;4791;5316;5252;5379;1,25;1,24;1,26;1,24;1,23;1,24
20.03.2020;5332;5278;5407;5143;5083;5209;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4442;4389;4501;4946;4886;5012;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3810;3751;3868;4577;4519;4642;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5157;5106;5221;4685;4631;4749;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4074;4021;4133;4371;4317;4431;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4418;4349;4482;4365;4307;4426;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;4000;3948;4065;4412;4356;4475;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4129;4068;4184;4155;4096;4216;0,89;0,88;0,89;0,90;0,89;0,90
28.03.2020;3885;3817;3957;4108;4045;4172;0,94;0,93;0,95;0,91;0,90;0,91
29.03.2020;3264;3207;3317;3820;3760;3880;0,88;0,87;0,88;0,90;0,90;0,91
30.03.2020;4391;4325;4445;3917;3854;3976;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3579;3519;3640;3780;3717;3840;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4039;3983;4094;3818;3759;3874;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3733;3665;3795;3936;3873;3993;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3726;3668;3784;3769;3709;3828;0,96;0,95;0,98;0,93;0,92;0,94
04.04.2020;3004;2954;3062;3626;3567;3684;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2698;2643;2746;3290;3232;3347;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3350;3299;3408;3194;3141;3250;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3054;2998;3111;3027;2973;3082;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2871;2808;2935;2993;2937;3050;0,83;0,82;0,83;0,85;0,84;0,86
09.04.2020;2693;2641;2744;2992;2936;3049;0,91;0,90;0,92;0,83;0,82;0,83
10.04.2020;2321;2272;2372;2735;2680;2790;0,86;0,84;0,87;0,80;0,80;0,81
11.04.2020;2013;1967;2062;2475;2422;2528;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1948;1904;1998;2244;2196;2294;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1887;1838;1939;2042;1995;2093;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1944;1889;1990;1948;1899;1997;0,71;0,70;0,72;0,78;0,77;0,78
15.04.2020;1935;1882;1991;1929;1878;1979;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1749;1705;1795;1879;1828;1929;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1649;1604;1708;1819;1770;1871;0,89;0,88;0,91;0,80;0,79;0,81
18.04.2020;1433;1393;1479;1692;1646;1743;0,87;0,85;0,89;0,81;0,80;0,82
19.04.2020;1309;1263;1350;1535;1491;1583;0,80;0,78;0,81;0,84;0,83;0,85
20.04.2020;1573;1527;1619;1491;1447;1539;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1350;1306;1388;1416;1372;1459;0,78;0,77;0,79;0,83;0,82;0,83
22.04.2020;1295;1258;1338;1382;1338;1424;0,82;0,80;0,83;0,83;0,82;0,84
23.04.2020;1270;1229;1309;1372;1330;1413;0,89;0,88;0,91;0,81;0,80;0,82
24.04.2020;1146;1114;1183;1265;1227;1304;0,85;0,83;0,87;0,81;0,81;0,82
25.04.2020;1005;967;1040;1179;1142;1217;0,83;0,81;0,85;0,82;0,82;0,83
26.04.2020;904;864;940;1081;1044;1118;0,78;0,76;0,80;0,82;0,81;0,83
27.04.2020;1101;1066;1141;1039;1003;1076;0,76;0,74;0,78;0,82;0,81;0,83
28.04.2020;944;910;982;988;952;1026;0,78;0,76;0,80;0,81;0,80;0,82
29.04.2020;866;837;898;954;919;990;0,81;0,79;0,83;0,81;0,80;0,82
30.04.2020;936;903;969;962;929;997;0,89;0,87;0,91;0,81;0,80;0,83
01.05.2020;817;785;848;891;859;924;0,86;0,83;0,88;0,82;0,81;0,83
02.05.2020;740;708;772;840;808;872;0,85;0,83;0,88;0,85;0,84;0,86
03.05.2020;752;722;785;811;779;843;0,85;0,83;0,87;0,86;0,85;0,87
04.05.2020;888;854;924;799;767;832;0,83;0,81;0,85;0,89;0,87;0,90
05.05.2020;820;788;856;800;768;834;0,90;0,87;0,92;0,90;0,89;0,92
06.05.2020;742;708;777;801;768;835;0,95;0,93;0,99;0,89;0,87;0,90
07.05.2020;704;672;738;788;756;824;0,97;0,95;1,00;0,90;0,88;0,91
08.05.2020;680;649;708;736;704;770;0,92;0,89;0,95;0,89;0,87;0,90
09.05.2020;582;552;617;677;645;710;0,85;0,82;0,87;0,87;0,86;0,89
10.05.2020;553;517;587;630;597;662;0,79;0,76;0,81;0,87;0,86;0,88
11.05.2020;668;634;705;621;588;654;0,79;0,76;0,81;0,85;0,84;0,87
12.05.2020;622;589;654;606;573;640;0,82;0,80;0,85;0,85;0,83;0,86
13.05.2020;585;558;614;607;574;640;0,90;0,87;0,93;0,85;0,83;0,86
14.05.2020;524;496;556;600;569;632;0,95;0,92;0,99;0,89;0,87;0,90
15.05.2020;678;645;710;602;572;633;0,97;0,94;1,00;0,92;0,90;0,94
16.05.2020;559;529;590;586;557;617;0,97;0,94;1,00;0,93;0,91;0,95
17.05.2020;444;420;471;551;523;582;0,91;0,87;0,94;0,96;0,94;0,97
18.05.2020;617;587;648;574;545;605;0,96;0,92;0,99;0,92;0,90;0,94
19.05.2020;468;441;500;522;494;552;0,87;0,84;0,90;0,92;0,90;0,94
20.05.2020;563;535;595;523;496;553;0,89;0,86;0,93;0,91;0,90;0,93
21.05.2020;390;361;420;510;481;540;0,92;0,90;0,96;0,85;0,83;0,87
22.05.2020;384;358;416;452;424;482;0,79;0,75;0,81;0,83;0,82;0,85
23.05.2020;364;339;391;425;398;455;0,82;0,78;0,85;0,82;0,80;0,83
24.05.2020;371;347;402;377;351;407;0,72;0,69;0,75;0,81;0,79;0,83
25.05.2020;467;439;493;397;371;425;0,78;0,74;0,81;0,87;0,85;0,89
26.05.2020;436;405;465;409;382;438;0,91;0,87;0,95;0,89;0,87;0,90
27.05.2020;453;427;483;432;404;461;1,01;0,97;1,06;0,90;0,88;0,92
28.05.2020;377;352;403;433;406;461;1,15;1,09;1,20;0,94;0,91;0,96
29.05.2020;348;324;371;403;377;431;1,02;0,98;1,06;0,92;0,90;0,94
30.05.2020;290;268;317;367;343;393;0,90;0,86;0,94;0,92;0,90;0,94
31.05.2020;269;247;289;321;298;345;0,74;0,71;0,78;0,88;0,86;0,90
01.06.2020;327;305;352;308;286;332;0,71;0,68;0,74;0,89;0,87;0,91
02.06.2020;439;413;465;331;308;356;0,82;0,78;0,87;0,89;0,87;0,92
03.06.2020;400;379;426;359;336;383;0,98;0,93;1,02;0,92;0,89;0,94
04.06.2020;341;317;366;377;353;402;1,18;1,12;1,24;0,96;0,93;0,98
05.06.2020;320;299;342;375;352;400;1,22;1,16;1,27;0,96;0,94;0,99
06.06.2020;301;278;325;341;318;365;1,03;0,97;1,08;0,97;0,94;0,99
07.06.2020;236;215;259;300;277;323;0,83;0,80;0,87;1,01;0,99;1,04
08.06.2020;411;383;437;317;293;341;0,84;0,80;0,87;1,03;1,00;1,06
09.06.2020;448;422;480;349;324;375;0,93;0,89;0,97;1,04;1,01;1,07
10.06.2020;435;410;462;382;357;409;1,12;1,07;1,17;1,06;1,04;1,09
11.06.2020;368;343;394;415;390;443;1,39;1,32;1,45;1,05;1,02;1,08
12.06.2020;370;347;397;405;380;433;1,28;1,22;1,35;1,07;1,04;1,10
13.06.2020;365;343;389;384;361;410;1,10;1,06;1,15;1,11;1,08;1,13
14.06.2020;357;333;384;365;341;391;0,96;0,92;1,01;1,19;1,16;1,21
15.06.2020;644;613;678;434;409;462;1,05;1,00;1,09;1,42;1,39;1,46
16.06.2020;1117;1080;1152;621;592;651;1,53;1,47;1,60;1,48;1,44;1,51
17.06.2020;664;635;701;695;665;729;1,81;1,74;1,88;1,47;1,44;1,51
18.06.2020;535;506;570;740;708;775;2,03;1,94;2,11;1,42;1,39;1,45
19.06.2020;568;538;600;721;690;755;1,66;1,61;1,73;1,19;1,17;1,21
20.06.2020;470;440;499;559;529;592;0,90;0,87;0,93;1,12;1,11;1,15
21.06.2020;371;342;397;486;456;516;0,70;0,67;0,73;1,04;1,02;1,05
22.06.2020;478;453;512;472;443;502;0,64;0,61;0,66;0,83;0,81;0,84
23.06.2020;428;398;456;437;408;466;0,61;0,58;0,63;0,76;0,74;0,78
24.06.2020;466;440;495;436;408;465;0,78;0,75;0,81;0,73;0,71;0,74
