Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;304;291;321;225;214;238;.;.;.;.;.;.
03.03.2020;321;304;339;261;247;276;.;.;.;.;.;.
04.03.2020;450;432;469;326;311;343;.;.;.;.;.;.
05.03.2020;503;483;520;395;377;412;.;.;.;.;.;.
06.03.2020;759;734;783;508;488;528;2,26;2,18;2,33;2,34;2,30;2,39
07.03.2020;984;960;1017;674;652;697;2,58;2,50;2,65;2,56;2,51;2,61
08.03.2020;1337;1301;1370;896;869;922;2,75;2,67;2,82;2,93;2,88;2,98
09.03.2020;2021;1983;2055;1275;1244;1306;3,23;3,15;3,33;3,13;3,08;3,17
10.03.2020;2569;2527;2616;1728;1693;1765;3,40;3,33;3,48;3,21;3,16;3,25
11.03.2020;3234;3192;3281;2290;2251;2331;3,40;3,34;3,47;3,11;3,07;3,15
12.03.2020;3601;3553;3655;2856;2814;2902;3,19;3,13;3,25;2,84;2,81;2,87
13.03.2020;4364;4311;4420;3442;3396;3493;2,70;2,66;2,73;2,50;2,48;2,52
14.03.2020;4440;4391;4494;3910;3862;3962;2,26;2,24;2,29;2,18;2,17;2,20
15.03.2020;4678;4618;4730;4270;4218;4324;1,86;1,85;1,89;1,99;1,98;2,01
16.03.2020;6020;5958;6081;4875;4819;4931;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5229;5162;5292;5092;5032;5149;1,48;1,46;1,50;1,56;1,55;1,57
18.03.2020;5288;5227;5346;5304;5241;5362;1,36;1,34;1,37;1,39;1,39;1,40
19.03.2020;4723;4659;4784;5315;5252;5375;1,24;1,23;1,26;1,24;1,23;1,24
20.03.2020;5328;5267;5397;5142;5079;5204;1,05;1,05;1,06;1,13;1,13;1,14
21.03.2020;4441;4383;4509;4945;4884;5009;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3813;3758;3873;4576;4517;4641;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5152;5096;5221;4683;4626;4750;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4073;4020;4136;4370;4314;4435;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4416;4352;4483;4364;4306;4428;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;3994;3939;4049;4409;4352;4472;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4123;4072;4178;4152;4096;4211;0,89;0,88;0,90;0,90;0,89;0,90
28.03.2020;3888;3831;3946;4105;4048;4164;0,94;0,93;0,95;0,90;0,90;0,91
29.03.2020;3261;3198;3328;3817;3760;3875;0,87;0,86;0,88;0,90;0,90;0,91
30.03.2020;4391;4329;4450;3916;3857;3975;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3579;3517;3641;3780;3718;3841;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4038;3970;4110;3817;3753;3882;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3727;3657;3788;3934;3868;3997;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3727;3671;3793;3768;3704;3833;0,96;0,95;0,97;0,93;0,93;0,94
04.04.2020;3006;2951;3064;3624;3562;3689;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2696;2640;2741;3289;3229;3346;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3351;3286;3402;3195;3137;3250;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3054;2995;3117;3026;2968;3081;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2875;2823;2929;2994;2936;3047;0,83;0,81;0,84;0,85;0,84;0,86
09.04.2020;2689;2635;2749;2992;2934;3049;0,91;0,90;0,92;0,83;0,82;0,83
10.04.2020;2324;2265;2372;2735;2679;2792;0,86;0,84;0,87;0,81;0,80;0,81
11.04.2020;2013;1969;2060;2475;2423;2527;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1950;1902;1998;2244;2193;2295;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1885;1836;1931;2043;1993;2090;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1941;1896;1989;1947;1901;1994;0,71;0,70;0,72;0,78;0,77;0,78
15.04.2020;1936;1891;1977;1928;1881;1973;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1749;1701;1801;1878;1831;1924;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1645;1599;1693;1818;1771;1865;0,89;0,87;0,91;0,80;0,79;0,81
18.04.2020;1437;1393;1477;1692;1646;1737;0,87;0,85;0,88;0,81;0,80;0,82
19.04.2020;1310;1266;1353;1535;1489;1581;0,80;0,78;0,81;0,84;0,83;0,85
20.04.2020;1572;1535;1612;1491;1448;1534;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1347;1305;1392;1417;1374;1458;0,78;0,76;0,80;0,83;0,82;0,84
22.04.2020;1298;1252;1342;1382;1339;1424;0,82;0,80;0,84;0,83;0,82;0,84
23.04.2020;1263;1219;1302;1370;1327;1412;0,89;0,87;0,91;0,81;0,80;0,82
24.04.2020;1150;1110;1193;1265;1221;1307;0,85;0,83;0,87;0,81;0,80;0,82
25.04.2020;1005;968;1049;1179;1137;1221;0,83;0,81;0,85;0,82;0,81;0,84
26.04.2020;902;868;941;1080;1041;1121;0,78;0,76;0,80;0,82;0,81;0,83
27.04.2020;1100;1063;1137;1039;1002;1080;0,76;0,74;0,78;0,82;0,81;0,83
28.04.2020;945;905;987;988;951;1028;0,78;0,76;0,80;0,81;0,80;0,82
29.04.2020;866;831;897;953;917;990;0,81;0,79;0,83;0,81;0,80;0,82
30.04.2020;940;908;973;963;927;998;0,89;0,87;0,92;0,82;0,80;0,83
01.05.2020;816;784;851;892;857;927;0,86;0,83;0,89;0,82;0,81;0,84
02.05.2020;741;711;785;841;808;876;0,85;0,83;0,87;0,85;0,84;0,86
03.05.2020;753;721;787;813;781;849;0,85;0,83;0,87;0,86;0,85;0,88
04.05.2020;891;855;929;800;767;838;0,83;0,81;0,86;0,89;0,87;0,90
05.05.2020;817;778;852;801;766;838;0,90;0,87;0,93;0,90;0,89;0,92
06.05.2020;741;706;771;801;765;835;0,95;0,92;0,98;0,89;0,87;0,90
07.05.2020;705;673;737;789;753;822;0,97;0,94;1,00;0,89;0,88;0,91
08.05.2020;677;649;710;735;701;767;0,92;0,89;0,95;0,89;0,87;0,91
09.05.2020;582;551;617;676;645;709;0,84;0,81;0,87;0,87;0,86;0,89
10.05.2020;553;524;587;629;599;663;0,79;0,76;0,81;0,87;0,85;0,88
11.05.2020;666;637;697;620;590;653;0,79;0,76;0,81;0,85;0,84;0,87
12.05.2020;620;593;652;605;576;638;0,82;0,80;0,86;0,85;0,84;0,86
13.05.2020;584;553;616;606;577;638;0,90;0,87;0,93;0,85;0,83;0,86
14.05.2020;525;494;553;599;569;629;0,95;0,92;0,99;0,89;0,87;0,90
15.05.2020;677;650;707;602;572;632;0,97;0,94;1,00;0,92;0,90;0,94
16.05.2020;559;527;592;587;556;617;0,97;0,94;1,00;0,93;0,91;0,95
17.05.2020;442;411;472;551;520;581;0,91;0,88;0,94;0,96;0,94;0,97
18.05.2020;617;581;650;574;542;605;0,96;0,93;0,99;0,92;0,91;0,94
19.05.2020;468;437;504;521;489;554;0,87;0,84;0,90;0,92;0,90;0,93
20.05.2020;565;534;591;523;490;554;0,89;0,86;0,92;0,91;0,90;0,93
21.05.2020;389;365;418;510;479;540;0,93;0,89;0,96;0,85;0,84;0,87
22.05.2020;387;366;411;452;425;481;0,79;0,76;0,82;0,83;0,82;0,85
23.05.2020;363;337;386;426;400;451;0,82;0,79;0,85;0,82;0,80;0,84
24.05.2020;373;350;400;378;354;404;0,72;0,69;0,75;0,81;0,79;0,83
25.05.2020;467;445;495;398;374;423;0,78;0,74;0,81;0,87;0,85;0,89
26.05.2020;434;410;459;409;385;435;0,90;0,87;0,95;0,89;0,87;0,91
27.05.2020;454;430;483;432;409;459;1,01;0,97;1,06;0,90;0,88;0,93
28.05.2020;379;355;404;434;410;460;1,15;1,10;1,20;0,94;0,91;0,96
29.05.2020;347;324;368;403;380;428;1,02;0,97;1,06;0,92;0,90;0,94
30.05.2020;290;268;316;368;344;393;0,90;0,85;0,94;0,92;0,90;0,94
31.05.2020;268;250;293;321;299;345;0,74;0,71;0,78;0,88;0,86;0,90
01.06.2020;329;307;353;308;287;332;0,71;0,68;0,74;0,89;0,87;0,91
02.06.2020;438;408;463;331;308;356;0,82;0,78;0,86;0,89;0,87;0,91
03.06.2020;399;372;423;358;334;383;0,98;0,93;1,02;0,91;0,89;0,94
04.06.2020;341;318;366;377;351;401;1,17;1,11;1,22;0,95;0,93;0,98
05.06.2020;321;303;343;375;350;398;1,22;1,16;1,27;0,96;0,93;0,98
06.06.2020;300;278;319;340;317;363;1,03;0,96;1,08;0,96;0,94;0,99
07.06.2020;236;216;256;299;278;321;0,84;0,79;0,88;1,01;0,99;1,04
08.06.2020;411;384;436;317;295;338;0,84;0,80;0,88;1,03;1,00;1,06
09.06.2020;449;425;476;349;325;372;0,93;0,89;0,97;1,04;1,01;1,06
10.06.2020;433;410;461;382;359;407;1,12;1,07;1,18;1,07;1,04;1,09
11.06.2020;369;344;395;416;391;442;1,39;1,32;1,45;1,05;1,02;1,08
12.06.2020;371;348;396;406;382;432;1,28;1,23;1,34;1,07;1,05;1,10
13.06.2020;365;342;392;385;361;411;1,10;1,06;1,16;1,11;1,08;1,13
14.06.2020;357;334;385;366;342;392;0,96;0,91;1,00;1,19;1,16;1,22
15.06.2020;643;608;679;434;408;463;1,05;0,99;1,10;1,42;1,38;1,46
16.06.2020;1115;1084;1153;620;592;652;1,53;1,46;1,59;1,47;1,44;1,51
17.06.2020;663;625;697;695;663;729;1,81;1,73;1,88;1,47;1,43;1,50
18.06.2020;534;501;566;739;704;774;2,02;1,94;2,11;1,42;1,39;1,45
19.06.2020;569;538;600;720;687;754;1,66;1,59;1,73;1,19;1,17;1,22
20.06.2020;472;445;500;560;527;591;0,90;0,87;0,94;1,12;1,10;1,14
21.06.2020;368;342;399;486;456;516;0,70;0,67;0,73;1,04;1,02;1,06
22.06.2020;475;447;502;471;443;500;0,64;0,61;0,66;0,83;0,81;0,84
23.06.2020;433;406;466;437;410;467;0,61;0,59;0,63;0,76;0,75;0,78
24.06.2020;466;440;488;435;409;464;0,78;0,75;0,81;0,73;0,72;0,74
25.06.2020;404;378;432;444;418;472;0,91;0,88;0,96;0,73;0,71;0,74
26.06.2020;430;406;459;433;407;461;0,92;0,88;0,96;0,83;0,81;0,85
27.06.2020;354;331;377;413;388;439;0,95;0,91;0,99;0,87;0,85;0,88
28.06.2020;314;292;339;375;352;402;0,86;0,82;0,90;0,89;0,87;0,90
29.06.2020;423;400;455;380;357;407;0,86;0,82;0,89;0,93;0,90;0,95
30.06.2020;434;407;460;381;357;408;0,88;0,84;0,92;0,94;0,92;0,96
01.07.2020;405;378;431;394;369;421;0,95;0,91;1,00;0,94;0,92;0,96
02.07.2020;336;312;362;400;374;427;1,06;1,02;1,11;0,93;0,91;0,95
03.07.2020;348;322;373;381;355;406;1,00;0,96;1,05;0,91;0,88;0,93
04.07.2020;297;272;323;346;321;372;0,91;0,86;0,95;0,92;0,90;0,94
05.07.2020;292;271;317;318;294;344;0,81;0,77;0,85;0,92;0,90;0,95
06.07.2020;375;353;398;328;304;353;0,82;0,79;0,86;0,93;0,91;0,95
07.07.2020;371;347;398;334;310;359;0,88;0,84;0,92;0,93;0,91;0,95
08.07.2020;357;336;381;349;327;373;1,01;0,96;1,06;0,95;0,93;0,98
09.07.2020;375;353;399;370;347;394;1,16;1,10;1,22;1,00;0,98;1,03
10.07.2020;429;404;453;383;360;408;1,17;1,11;1,23;1,07;1,04;1,10
11.07.2020;387;361;411;387;363;411;1,16;1,11;1,21;1,12;1,09;1,15
12.07.2020;361;335;387;388;363;412;1,11;1,07;1,17;1,17;1,14;1,20
