Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;304;291;321;225;213;239;.;.;.;.;.;.
03.03.2020;321;305;340;261;248;277;.;.;.;.;.;.
04.03.2020;449;429;468;326;311;343;.;.;.;.;.;.
05.03.2020;504;483;526;394;377;414;.;.;.;.;.;.
06.03.2020;759;733;782;508;487;529;2,26;2,18;2,33;2,34;2,29;2,39
07.03.2020;985;958;1011;674;651;696;2,58;2,50;2,66;2,56;2,51;2,61
08.03.2020;1335;1299;1374;896;868;923;2,75;2,68;2,83;2,93;2,88;3,00
09.03.2020;2020;1985;2061;1275;1244;1307;3,23;3,16;3,33;3,13;3,08;3,19
10.03.2020;2570;2529;2617;1727;1693;1765;3,40;3,33;3,49;3,21;3,17;3,26
11.03.2020;3238;3195;3295;2291;2252;2336;3,40;3,34;3,47;3,12;3,08;3,16
12.03.2020;3608;3546;3663;2859;2814;2909;3,19;3,14;3,25;2,84;2,81;2,87
13.03.2020;4358;4309;4416;3443;3395;3498;2,70;2,66;2,74;2,50;2,48;2,52
14.03.2020;4435;4383;4485;3909;3858;3965;2,26;2,23;2,29;2,18;2,17;2,20
15.03.2020;4681;4618;4742;4270;4214;4326;1,86;1,84;1,88;1,99;1,98;2,00
16.03.2020;6016;5948;6085;4872;4814;4932;1,70;1,69;1,72;1,74;1,73;1,75
17.03.2020;5235;5173;5296;5091;5030;5152;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5289;5223;5359;5305;5240;5370;1,36;1,35;1,37;1,39;1,39;1,40
19.03.2020;4724;4663;4784;5316;5252;5381;1,24;1,23;1,26;1,24;1,23;1,24
20.03.2020;5326;5273;5391;5144;5083;5208;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4445;4380;4503;4946;4885;5009;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3808;3760;3856;4576;4519;4633;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5157;5101;5218;4684;4628;4742;0,88;0,87;0,89;0,92;0,92;0,92
24.03.2020;4072;4004;4129;4370;4311;4426;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4418;4351;4478;4363;4304;4420;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;3998;3945;4055;4411;4350;4470;0,96;0,96;0,97;0,88;0,88;0,89
27.03.2020;4124;4067;4189;4153;4092;4213;0,89;0,88;0,89;0,90;0,89;0,90
28.03.2020;3890;3828;3950;4107;4048;4168;0,94;0,93;0,95;0,91;0,90;0,91
29.03.2020;3260;3212;3317;3818;3763;3878;0,87;0,87;0,88;0,90;0,90;0,91
30.03.2020;4396;4343;4448;3917;3862;3976;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3579;3515;3640;3781;3724;3839;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4040;3978;4101;3819;3762;3876;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3728;3667;3789;3936;3875;3994;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3725;3671;3790;3768;3707;3830;0,96;0,95;0,97;0,93;0,92;0,94
04.04.2020;3008;2952;3061;3625;3567;3685;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2699;2648;2749;3290;3234;3347;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3351;3291;3420;3196;3140;3255;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3058;3003;3114;3029;2973;3086;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2872;2816;2926;2995;2939;3052;0,83;0,82;0,84;0,85;0,84;0,86
09.04.2020;2695;2644;2744;2994;2938;3051;0,91;0,90;0,92;0,83;0,82;0,83
10.04.2020;2319;2272;2375;2736;2683;2790;0,86;0,85;0,87;0,81;0,80;0,81
11.04.2020;2014;1958;2063;2475;2422;2527;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1950;1904;1998;2245;2194;2295;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1891;1844;1937;2044;1994;2093;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1943;1893;1988;1950;1900;1996;0,71;0,70;0,72;0,78;0,77;0,78
15.04.2020;1935;1887;1989;1930;1882;1978;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1750;1709;1796;1880;1833;1928;0,84;0,83;0,85;0,78;0,77;0,79
17.04.2020;1646;1603;1694;1818;1773;1867;0,89;0,87;0,91;0,80;0,79;0,81
