Unnamed: 0,data_version,target,date,location,type,quantile,value
51,2020-09-26,4 day R,2020-04-26,DE,point,,0.78
52,2020-09-26,4 day R,2020-04-27,DE,point,,0.76
53,2020-09-26,4 day R,2020-04-28,DE,point,,0.78
54,2020-09-26,4 day R,2020-04-29,DE,point,,0.81
55,2020-09-26,4 day R,2020-04-30,DE,point,,0.89
56,2020-09-26,4 day R,2020-05-01,DE,point,,0.86
57,2020-09-26,4 day R,2020-05-02,DE,point,,0.85
58,2020-09-26,4 day R,2020-05-03,DE,point,,0.85
59,2020-09-26,4 day R,2020-05-04,DE,point,,0.83
60,2020-09-26,4 day R,2020-05-05,DE,point,,0.9
61,2020-09-26,4 day R,2020-05-06,DE,point,,0.95
62,2020-09-26,4 day R,2020-05-07,DE,point,,0.97
63,2020-09-26,4 day R,2020-05-08,DE,point,,0.92
64,2020-09-26,4 day R,2020-05-09,DE,point,,0.85
65,2020-09-26,4 day R,2020-05-10,DE,point,,0.79
66,2020-09-26,4 day R,2020-05-11,DE,point,,0.79
67,2020-09-26,4 day R,2020-05-12,DE,point,,0.82
68,2020-09-26,4 day R,2020-05-13,DE,point,,0.9
69,2020-09-26,4 day R,2020-05-14,DE,point,,0.95
70,2020-09-26,4 day R,2020-05-15,DE,point,,0.97
71,2020-09-26,4 day R,2020-05-16,DE,point,,0.97
72,2020-09-26,4 day R,2020-05-17,DE,point,,0.91
73,2020-09-26,4 day R,2020-05-18,DE,point,,0.96
74,2020-09-26,4 day R,2020-05-19,DE,point,,0.87
75,2020-09-26,4 day R,2020-05-20,DE,point,,0.89
76,2020-09-26,4 day R,2020-05-21,DE,point,,0.92
77,2020-09-26,4 day R,2020-05-22,DE,point,,0.79
78,2020-09-26,4 day R,2020-05-23,DE,point,,0.81
79,2020-09-26,4 day R,2020-05-24,DE,point,,0.72
80,2020-09-26,4 day R,2020-05-25,DE,point,,0.78
81,2020-09-26,4 day R,2020-05-26,DE,point,,0.9
82,2020-09-26,4 day R,2020-05-27,DE,point,,1.01
83,2020-09-26,4 day R,2020-05-28,DE,point,,1.15
84,2020-09-26,4 day R,2020-05-29,DE,point,,1.02
85,2020-09-26,4 day R,2020-05-30,DE,point,,0.9
86,2020-09-26,4 day R,2020-05-31,DE,point,,0.74
87,2020-09-26,4 day R,2020-06-01,DE,point,,0.71
88,2020-09-26,4 day R,2020-06-02,DE,point,,0.82
89,2020-09-26,4 day R,2020-06-03,DE,point,,0.98
90,2020-09-26,4 day R,2020-06-04,DE,point,,1.17
91,2020-09-26,4 day R,2020-06-05,DE,point,,1.22
92,2020-09-26,4 day R,2020-06-06,DE,point,,1.03
93,2020-09-26,4 day R,2020-06-07,DE,point,,0.83
94,2020-09-26,4 day R,2020-06-08,DE,point,,0.84
95,2020-09-26,4 day R,2020-06-09,DE,point,,0.93
96,2020-09-26,4 day R,2020-06-10,DE,point,,1.12
97,2020-09-26,4 day R,2020-06-11,DE,point,,1.39
98,2020-09-26,4 day R,2020-06-12,DE,point,,1.28
99,2020-09-26,4 day R,2020-06-13,DE,point,,1.11
100,2020-09-26,4 day R,2020-06-14,DE,point,,0.96
101,2020-09-26,4 day R,2020-06-15,DE,point,,1.04
102,2020-09-26,4 day R,2020-06-16,DE,point,,1.53
103,2020-09-26,4 day R,2020-06-17,DE,point,,1.8
104,2020-09-26,4 day R,2020-06-18,DE,point,,2.03
105,2020-09-26,4 day R,2020-06-19,DE,point,,1.66
106,2020-09-26,4 day R,2020-06-20,DE,point,,0.9
107,2020-09-26,4 day R,2020-06-21,DE,point,,0.7
108,2020-09-26,4 day R,2020-06-22,DE,point,,0.64
109,2020-09-26,4 day R,2020-06-23,DE,point,,0.6
110,2020-09-26,4 day R,2020-06-24,DE,point,,0.77
111,2020-09-26,4 day R,2020-06-25,DE,point,,0.91
112,2020-09-26,4 day R,2020-06-26,DE,point,,0.92
113,2020-09-26,4 day R,2020-06-27,DE,point,,0.95
114,2020-09-26,4 day R,2020-06-28,DE,point,,0.87
115,2020-09-26,4 day R,2020-06-29,DE,point,,0.86
116,2020-09-26,4 day R,2020-06-30,DE,point,,0.88
117,2020-09-26,4 day R,2020-07-01,DE,point,,0.95
118,2020-09-26,4 day R,2020-07-02,DE,point,,1.06
119,2020-09-26,4 day R,2020-07-03,DE,point,,1.0
120,2020-09-26,4 day R,2020-07-04,DE,point,,0.91
121,2020-09-26,4 day R,2020-07-05,DE,point,,0.81
122,2020-09-26,4 day R,2020-07-06,DE,point,,0.82
123,2020-09-26,4 day R,2020-07-07,DE,point,,0.88
124,2020-09-26,4 day R,2020-07-08,DE,point,,1.0
125,2020-09-26,4 day R,2020-07-09,DE,point,,1.16
126,2020-09-26,4 day R,2020-07-10,DE,point,,1.17
127,2020-09-26,4 day R,2020-07-11,DE,point,,1.16
128,2020-09-26,4 day R,2020-07-12,DE,point,,1.12
129,2020-09-26,4 day R,2020-07-13,DE,point,,1.16
130,2020-09-26,4 day R,2020-07-14,DE,point,,1.18
131,2020-09-26,4 day R,2020-07-15,DE,point,,1.27
132,2020-09-26,4 day R,2020-07-16,DE,point,,1.34
133,2020-09-26,4 day R,2020-07-17,DE,point,,1.21
134,2020-09-26,4 day R,2020-07-18,DE,point,,1.14
135,2020-09-26,4 day R,2020-07-19,DE,point,,1.02
136,2020-09-26,4 day R,2020-07-20,DE,point,,1.07
137,2020-09-26,4 day R,2020-07-21,DE,point,,1.15
138,2020-09-26,4 day R,2020-07-22,DE,point,,1.28
139,2020-09-26,4 day R,2020-07-23,DE,point,,1.39
140,2020-09-26,4 day R,2020-07-24,DE,point,,1.26
141,2020-09-26,4 day R,2020-07-25,DE,point,,1.14
142,2020-09-26,4 day R,2020-07-26,DE,point,,0.98
143,2020-09-26,4 day R,2020-07-27,DE,point,,0.97
144,2020-09-26,4 day R,2020-07-28,DE,point,,1.0
145,2020-09-26,4 day R,2020-07-29,DE,point,,1.07
146,2020-09-26,4 day R,2020-07-30,DE,point,,1.19
147,2020-09-26,4 day R,2020-07-31,DE,point,,1.12
148,2020-09-26,4 day R,2020-08-01,DE,point,,1.11
149,2020-09-26,4 day R,2020-08-02,DE,point,,1.11
150,2020-09-26,4 day R,2020-08-03,DE,point,,1.16
151,2020-09-26,4 day R,2020-08-04,DE,point,,1.24
152,2020-09-26,4 day R,2020-08-05,DE,point,,1.28
153,2020-09-26,4 day R,2020-08-06,DE,point,,1.25
154,2020-09-26,4 day R,2020-08-07,DE,point,,1.12
155,2020-09-26,4 day R,2020-08-08,DE,point,,1.07
156,2020-09-26,4 day R,2020-08-09,DE,point,,1.04
