country,date,type,median,lower_90,upper_90,lower_50,upper_50
Austria,2020-06-26,estimate,1.2,1.08,1.3,1.16,1.24
Austria,2020-06-27,estimate,1.18,1.06,1.27,1.15,1.23
Austria,2020-06-28,estimate,1.16,1.04,1.26,1.13,1.21
Austria,2020-06-29,estimate,1.14,1.04,1.25,1.11,1.19
Austria,2020-06-30,estimate,1.13,1.02,1.23,1.09,1.17
Austria,2020-07-01,estimate,1.12,1.01,1.21,1.08,1.16
Austria,2020-07-02,estimate,1.11,1.0,1.2,1.07,1.15
Austria,2020-07-03,estimate,1.1,0.99,1.19,1.07,1.14
Austria,2020-07-04,estimate,1.09,0.99,1.18,1.05,1.13
Austria,2020-07-05,estimate,1.08,0.98,1.17,1.04,1.11
Austria,2020-07-06,estimate,1.07,0.98,1.16,1.04,1.12
Austria,2020-07-07,estimate,1.07,0.97,1.16,1.03,1.1
Austria,2020-07-08,estimate,1.07,0.97,1.16,1.04,1.11
Austria,2020-07-09,estimate,1.06,0.97,1.15,1.04,1.1
Austria,2020-07-10,estimate,1.06,0.97,1.15,1.03,1.1
Austria,2020-07-11,estimate,1.06,0.97,1.16,1.03,1.1
Austria,2020-07-12,estimate,1.06,0.97,1.16,1.03,1.1
Austria,2020-07-13,estimate,1.06,0.96,1.15,1.02,1.09
Austria,2020-07-14,estimate,1.05,0.95,1.15,1.01,1.08
Austria,2020-07-15,estimate,1.05,0.95,1.16,1.01,1.09
Austria,2020-07-16,estimate,1.05,0.94,1.15,1.0,1.07
Austria,2020-07-17,estimate,1.04,0.94,1.15,1.0,1.08
Austria,2020-07-18,estimate,1.04,0.93,1.15,0.98,1.06
Austria,2020-07-19,estimate,1.03,0.91,1.13,0.99,1.07
Austria,2020-07-20,estimate,1.02,0.91,1.12,0.98,1.06
Austria,2020-07-21,estimate,1.01,0.9,1.11,0.97,1.05
Austria,2020-07-22,estimate,1.0,0.89,1.1,0.95,1.03
Austria,2020-07-23,estimate,0.99,0.89,1.09,0.94,1.03
Austria,2020-07-24,estimate,0.97,0.87,1.09,0.93,1.02
Austria,2020-07-25,estimate,0.96,0.84,1.07,0.91,1.0
Austria,2020-07-26,estimate based on partial data,0.95,0.83,1.07,0.89,0.99
Austria,2020-07-27,estimate based on partial data,0.94,0.79,1.06,0.89,0.99
Austria,2020-07-28,estimate based on partial data,0.93,0.76,1.06,0.88,0.99
Austria,2020-07-29,estimate based on partial data,0.92,0.73,1.06,0.87,0.99
Austria,2020-07-30,estimate based on partial data,0.91,0.71,1.07,0.87,1.0
Austria,2020-07-31,estimate based on partial data,0.91,0.7,1.08,0.86,1.0
Austria,2020-08-01,estimate based on partial data,0.9,0.68,1.1,0.85,1.0
