data_version,target,location,date,quantil,type,value
2021-03-14,7 day R,DE,24.04.2020,NA,point,"0,81"
2021-03-14,7 day R,DE,25.04.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,26.04.2020,NA,point,"0,82"
2021-03-14,7 day R,DE,27.04.2020,NA,point,"0,82"
2021-03-14,7 day R,DE,28.04.2020,NA,point,"0,81"
2021-03-14,7 day R,DE,29.04.2020,NA,point,"0,81"
2021-03-14,7 day R,DE,30.04.2020,NA,point,"0,81"
2021-03-14,7 day R,DE,01.05.2020,NA,point,"0,82"
2021-03-14,7 day R,DE,02.05.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,03.05.2020,NA,point,"0,86"
2021-03-14,7 day R,DE,04.05.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,05.05.2020,NA,point,"0,90"
2021-03-14,7 day R,DE,06.05.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,07.05.2020,NA,point,"0,90"
2021-03-14,7 day R,DE,08.05.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,09.05.2020,NA,point,"0,87"
2021-03-14,7 day R,DE,10.05.2020,NA,point,"0,87"
2021-03-14,7 day R,DE,11.05.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,12.05.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,13.05.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,14.05.2020,NA,point,"0,89"
2021-03-14,7 day R,DE,15.05.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,16.05.2020,NA,point,"0,93"
2021-03-14,7 day R,DE,17.05.2020,NA,point,"0,96"
2021-03-14,7 day R,DE,18.05.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,19.05.2020,NA,point,"0,92"
2021-03-14,7 day R,DE,20.05.2020,NA,point,"0,91"
2021-03-14,7 day R,DE,21.05.2020,NA,point,"0,85"
2021-03-14,7 day R,DE,22.05.2020,NA,point,"0,83"
2021-03-14,7 day R,DE,23.05.2020,NA,point,"0,82"
