data_version,target,location,date,quantil,type,value
2020-06-08,7 day R,DE,2020-03-06,NA,point,2.34
2020-06-08,7 day R,DE,2020-03-07,NA,point,2.57
2020-06-08,7 day R,DE,2020-03-08,NA,point,2.92
2020-06-08,7 day R,DE,2020-03-09,NA,point,3.12
2020-06-08,7 day R,DE,2020-03-10,NA,point,3.21
2020-06-08,7 day R,DE,2020-03-11,NA,point,3.11
2020-06-08,7 day R,DE,2020-03-12,NA,point,2.85
2020-06-08,7 day R,DE,2020-03-13,NA,point,2.51
2020-06-08,7 day R,DE,2020-03-14,NA,point,2.19
2020-06-08,7 day R,DE,2020-03-15,NA,point,2.0
2020-06-08,7 day R,DE,2020-03-16,NA,point,1.75
2020-06-08,7 day R,DE,2020-03-17,NA,point,1.56
2020-06-08,7 day R,DE,2020-03-18,NA,point,1.4
2020-06-08,7 day R,DE,2020-03-19,NA,point,1.23
2020-06-08,7 day R,DE,2020-03-20,NA,point,1.13
2020-06-08,7 day R,DE,2020-03-21,NA,point,1.03
2020-06-08,7 day R,DE,2020-03-22,NA,point,0.98
2020-06-08,7 day R,DE,2020-03-23,NA,point,0.92
2020-06-08,7 day R,DE,2020-03-24,NA,point,0.89
2020-06-08,7 day R,DE,2020-03-25,NA,point,0.89
2020-06-08,7 day R,DE,2020-03-26,NA,point,0.88
2020-06-08,7 day R,DE,2020-03-27,NA,point,0.9
2020-06-08,7 day R,DE,2020-03-28,NA,point,0.91
2020-06-08,7 day R,DE,2020-03-29,NA,point,0.9
2020-06-08,7 day R,DE,2020-03-30,NA,point,0.92
2020-06-08,7 day R,DE,2020-03-31,NA,point,0.93
2020-06-08,7 day R,DE,2020-04-01,NA,point,0.93
2020-06-08,7 day R,DE,2020-04-02,NA,point,0.94
2020-06-08,7 day R,DE,2020-04-03,NA,point,0.93
2020-06-08,7 day R,DE,2020-04-04,NA,point,0.92
2020-06-08,7 day R,DE,2020-04-05,NA,point,0.89
2020-06-08,7 day R,DE,2020-04-06,NA,point,0.89
2020-06-08,7 day R,DE,2020-04-07,NA,point,0.87
2020-06-08,7 day R,DE,2020-04-08,NA,point,0.85
2020-06-08,7 day R,DE,2020-04-09,NA,point,0.83
2020-06-08,7 day R,DE,2020-04-10,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-11,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-12,NA,point,0.79
2020-06-08,7 day R,DE,2020-04-13,NA,point,0.78
2020-06-08,7 day R,DE,2020-04-14,NA,point,0.78
2020-06-08,7 day R,DE,2020-04-15,NA,point,0.76
2020-06-08,7 day R,DE,2020-04-16,NA,point,0.78
2020-06-08,7 day R,DE,2020-04-17,NA,point,0.8
2020-06-08,7 day R,DE,2020-04-18,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-19,NA,point,0.84
2020-06-08,7 day R,DE,2020-04-20,NA,point,0.84
2020-06-08,7 day R,DE,2020-04-21,NA,point,0.82
2020-06-08,7 day R,DE,2020-04-22,NA,point,0.83
2020-06-08,7 day R,DE,2020-04-23,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-24,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-25,NA,point,0.83
2020-06-08,7 day R,DE,2020-04-26,NA,point,0.82
2020-06-08,7 day R,DE,2020-04-27,NA,point,0.82
2020-06-08,7 day R,DE,2020-04-28,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-29,NA,point,0.81
2020-06-08,7 day R,DE,2020-04-30,NA,point,0.81
2020-06-08,7 day R,DE,2020-05-01,NA,point,0.81
2020-06-08,7 day R,DE,2020-05-02,NA,point,0.84
2020-06-08,7 day R,DE,2020-05-03,NA,point,0.86
2020-06-08,7 day R,DE,2020-05-04,NA,point,0.88
2020-06-08,7 day R,DE,2020-05-05,NA,point,0.91
2020-06-08,7 day R,DE,2020-05-06,NA,point,0.89
2020-06-08,7 day R,DE,2020-05-07,NA,point,0.9
2020-06-08,7 day R,DE,2020-05-08,NA,point,0.9
2020-06-08,7 day R,DE,2020-05-09,NA,point,0.88
2020-06-08,7 day R,DE,2020-05-10,NA,point,0.87
2020-06-08,7 day R,DE,2020-05-11,NA,point,0.85
2020-06-08,7 day R,DE,2020-05-12,NA,point,0.84
2020-06-08,7 day R,DE,2020-05-13,NA,point,0.84
2020-06-08,7 day R,DE,2020-05-14,NA,point,0.88
2020-06-08,7 day R,DE,2020-05-15,NA,point,0.91
2020-06-08,7 day R,DE,2020-05-16,NA,point,0.93
2020-06-08,7 day R,DE,2020-05-17,NA,point,0.95
2020-06-08,7 day R,DE,2020-05-18,NA,point,0.92
2020-06-08,7 day R,DE,2020-05-19,NA,point,0.92
2020-06-08,7 day R,DE,2020-05-20,NA,point,0.91
2020-06-08,7 day R,DE,2020-05-21,NA,point,0.85
2020-06-08,7 day R,DE,2020-05-22,NA,point,0.84
2020-06-08,7 day R,DE,2020-05-23,NA,point,0.83
2020-06-08,7 day R,DE,2020-05-24,NA,point,0.82
2020-06-08,7 day R,DE,2020-05-25,NA,point,0.87
2020-06-08,7 day R,DE,2020-05-26,NA,point,0.88
2020-06-08,7 day R,DE,2020-05-27,NA,point,0.89
2020-06-08,7 day R,DE,2020-05-28,NA,point,0.92
2020-06-08,7 day R,DE,2020-05-29,NA,point,0.91
2020-06-08,7 day R,DE,2020-05-30,NA,point,0.89
2020-06-08,7 day R,DE,2020-05-31,NA,point,0.85
2020-06-08,7 day R,DE,2020-06-01,NA,point,0.88
2020-06-08,7 day R,DE,2020-06-02,NA,point,0.88
2020-06-08,7 day R,DE,2020-06-03,NA,point,0.87
2020-06-08,7 day R,DE,2020-03-06,0.025,quantil,2.3
2020-06-08,7 day R,DE,2020-03-07,0.025,quantil,2.51
2020-06-08,7 day R,DE,2020-03-08,0.025,quantil,2.86
2020-06-08,7 day R,DE,2020-03-09,0.025,quantil,3.07
2020-06-08,7 day R,DE,2020-03-10,0.025,quantil,3.16
2020-06-08,7 day R,DE,2020-03-11,0.025,quantil,3.07
2020-06-08,7 day R,DE,2020-03-12,0.025,quantil,2.82
2020-06-08,7 day R,DE,2020-03-13,0.025,quantil,2.49
2020-06-08,7 day R,DE,2020-03-14,0.025,quantil,2.18
2020-06-08,7 day R,DE,2020-03-15,0.025,quantil,1.99
2020-06-08,7 day R,DE,2020-03-16,0.025,quantil,1.74
2020-06-08,7 day R,DE,2020-03-17,0.025,quantil,1.55
2020-06-08,7 day R,DE,2020-03-18,0.025,quantil,1.39
2020-06-08,7 day R,DE,2020-03-19,0.025,quantil,1.23
