data_version,target,location,date,quantil,type,value
2020-07-27,7 day R,DE,2020-03-06,NA,point,2.34
2020-07-27,7 day R,DE,2020-03-07,NA,point,2.57
2020-07-27,7 day R,DE,2020-03-08,NA,point,2.94
2020-07-27,7 day R,DE,2020-03-09,NA,point,3.14
2020-07-27,7 day R,DE,2020-03-10,NA,point,3.22
2020-07-27,7 day R,DE,2020-03-11,NA,point,3.12
2020-07-27,7 day R,DE,2020-03-12,NA,point,2.84
2020-07-27,7 day R,DE,2020-03-13,NA,point,2.5
2020-07-27,7 day R,DE,2020-03-14,NA,point,2.18
2020-07-27,7 day R,DE,2020-03-15,NA,point,1.99
2020-07-27,7 day R,DE,2020-03-16,NA,point,1.74
2020-07-27,7 day R,DE,2020-03-17,NA,point,1.56
2020-07-27,7 day R,DE,2020-03-18,NA,point,1.4
2020-07-27,7 day R,DE,2020-03-19,NA,point,1.24
2020-07-27,7 day R,DE,2020-03-20,NA,point,1.13
2020-07-27,7 day R,DE,2020-03-21,NA,point,1.04
2020-07-27,7 day R,DE,2020-03-22,NA,point,0.98
2020-07-27,7 day R,DE,2020-03-23,NA,point,0.92
2020-07-27,7 day R,DE,2020-03-24,NA,point,0.89
2020-07-27,7 day R,DE,2020-03-25,NA,point,0.9
2020-07-27,7 day R,DE,2020-03-26,NA,point,0.88
2020-07-27,7 day R,DE,2020-03-27,NA,point,0.9
2020-07-27,7 day R,DE,2020-03-28,NA,point,0.9
2020-07-27,7 day R,DE,2020-03-29,NA,point,0.9
2020-07-27,7 day R,DE,2020-03-30,NA,point,0.92
2020-07-27,7 day R,DE,2020-03-31,NA,point,0.93
2020-07-27,7 day R,DE,2020-04-01,NA,point,0.93
2020-07-27,7 day R,DE,2020-04-02,NA,point,0.95
2020-07-27,7 day R,DE,2020-04-03,NA,point,0.93
2020-07-27,7 day R,DE,2020-04-04,NA,point,0.92
2020-07-27,7 day R,DE,2020-04-05,NA,point,0.89
2020-07-27,7 day R,DE,2020-04-06,NA,point,0.89
2020-07-27,7 day R,DE,2020-04-07,NA,point,0.87
2020-07-27,7 day R,DE,2020-04-08,NA,point,0.85
2020-07-27,7 day R,DE,2020-04-09,NA,point,0.83
2020-07-27,7 day R,DE,2020-04-10,NA,point,0.81
