data_version,target,location,date,quantile,type,value
2020-06-20,7 day R,DE,2020-03-10,0.025,quantile,3.15
2020-06-20,7 day R,DE,2020-03-11,0.025,quantile,3.06
2020-06-20,7 day R,DE,2020-03-12,0.025,quantile,2.81
2020-06-20,7 day R,DE,2020-03-13,0.025,quantile,2.48
2020-06-20,7 day R,DE,2020-03-14,0.025,quantile,2.17
2020-06-20,7 day R,DE,2020-03-15,0.025,quantile,1.99
2020-06-20,7 day R,DE,2020-03-16,0.025,quantile,1.74
2020-06-20,7 day R,DE,2020-03-17,0.025,quantile,1.55
2020-06-20,7 day R,DE,2020-03-18,0.025,quantile,1.39
2020-06-20,7 day R,DE,2020-03-19,0.025,quantile,1.23
2020-06-20,7 day R,DE,2020-03-20,0.025,quantile,1.12
2020-06-20,7 day R,DE,2020-03-21,0.025,quantile,1.03
2020-06-20,7 day R,DE,2020-03-22,0.025,quantile,0.97
2020-06-20,7 day R,DE,2020-03-23,0.025,quantile,0.91
2020-06-20,7 day R,DE,2020-03-24,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-03-25,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-03-26,0.025,quantile,0.88
2020-06-20,7 day R,DE,2020-03-27,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-03-28,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-03-29,0.025,quantile,0.9
2020-06-20,7 day R,DE,2020-03-30,0.025,quantile,0.92
2020-06-20,7 day R,DE,2020-03-31,0.025,quantile,0.92
2020-06-20,7 day R,DE,2020-04-01,0.025,quantile,0.93
2020-06-20,7 day R,DE,2020-04-02,0.025,quantile,0.94
2020-06-20,7 day R,DE,2020-04-03,0.025,quantile,0.93
2020-06-20,7 day R,DE,2020-04-04,0.025,quantile,0.92
2020-06-20,7 day R,DE,2020-04-05,0.025,quantile,0.89
2020-06-20,7 day R,DE,2020-04-06,0.025,quantile,0.88
2020-06-20,7 day R,DE,2020-04-07,0.025,quantile,0.87
2020-06-20,7 day R,DE,2020-04-08,0.025,quantile,0.84
2020-06-20,7 day R,DE,2020-04-09,0.025,quantile,0.82
2020-06-20,7 day R,DE,2020-04-10,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-04-11,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-04-12,0.025,quantile,0.78
2020-06-20,7 day R,DE,2020-04-13,0.025,quantile,0.78
2020-06-20,7 day R,DE,2020-04-14,0.025,quantile,0.77
2020-06-20,7 day R,DE,2020-04-15,0.025,quantile,0.75
2020-06-20,7 day R,DE,2020-04-16,0.025,quantile,0.78
2020-06-20,7 day R,DE,2020-04-17,0.025,quantile,0.79
2020-06-20,7 day R,DE,2020-04-18,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-04-19,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-04-20,0.025,quantile,0.83
2020-06-20,7 day R,DE,2020-04-21,0.025,quantile,0.82
2020-06-20,7 day R,DE,2020-04-22,0.025,quantile,0.82
2020-06-20,7 day R,DE,2020-04-23,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-04-24,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-04-25,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-04-26,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-04-27,0.025,quantile,0.81
2020-06-20,7 day R,DE,2020-04-28,0.025,quantile,0.8
2020-06-20,7 day R,DE,2020-04-29,0.025,quantile,0.8
