country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-05-30,estimate,0.79,0.65,0.99,0.7,0.83
Germany,2020-05-31,estimate,0.81,0.67,0.99,0.73,0.86
Germany,2020-06-01,estimate,0.84,0.69,0.99,0.76,0.88
Germany,2020-06-02,estimate,0.87,0.75,1.01,0.8,0.91
Germany,2020-06-03,estimate,0.91,0.8,1.03,0.86,0.96
Germany,2020-06-04,estimate,0.95,0.85,1.05,0.91,1.0
Germany,2020-06-05,estimate,1.0,0.89,1.1,0.96,1.04
Germany,2020-06-06,estimate,1.05,0.94,1.16,0.99,1.08
Germany,2020-06-07,estimate,1.1,0.97,1.22,1.03,1.13
Germany,2020-06-08,estimate,1.14,1.01,1.3,1.07,1.2
Germany,2020-06-09,estimate,1.19,1.01,1.35,1.1,1.24
Germany,2020-06-10,estimate,1.22,1.02,1.4,1.14,1.3
Germany,2020-06-11,estimate,1.25,1.03,1.45,1.16,1.33
Germany,2020-06-12,estimate,1.26,1.04,1.47,1.2,1.37
Germany,2020-06-13,estimate,1.26,1.05,1.47,1.2,1.37
Germany,2020-06-14,estimate,1.24,1.04,1.44,1.17,1.33
Germany,2020-06-15,estimate,1.21,1.01,1.38,1.13,1.27
Germany,2020-06-16,estimate,1.18,1.01,1.33,1.12,1.25
Germany,2020-06-17,estimate,1.13,0.99,1.27,1.07,1.19
Germany,2020-06-18,estimate,1.09,0.96,1.2,1.03,1.14
Germany,2020-06-19,estimate,1.04,0.92,1.14,0.98,1.07
Germany,2020-06-20,estimate,0.99,0.88,1.09,0.96,1.04
Germany,2020-06-21,estimate,0.95,0.84,1.06,0.91,1.0
Germany,2020-06-22,estimate,0.91,0.79,1.01,0.87,0.96
Germany,2020-06-23,estimate,0.87,0.76,0.99,0.81,0.91
Germany,2020-06-24,estimate,0.84,0.72,0.97,0.78,0.88
Germany,2020-06-25,estimate,0.82,0.7,0.95,0.75,0.86
Germany,2020-06-26,estimate,0.8,0.68,0.93,0.73,0.84
Germany,2020-06-27,estimate,0.79,0.66,0.92,0.72,0.82
Germany,2020-06-28,estimate,0.79,0.66,0.92,0.72,0.82
Germany,2020-06-29,estimate,0.79,0.67,0.92,0.73,0.83
Germany,2020-06-30,estimate,0.8,0.68,0.93,0.75,0.84
Germany,2020-07-01,estimate,0.82,0.7,0.94,0.76,0.86
Germany,2020-07-02,estimate,0.84,0.73,0.95,0.8,0.9
Germany,2020-07-03,estimate,0.87,0.76,0.98,0.82,0.91
Germany,2020-07-04,estimate,0.91,0.81,1.02,0.86,0.95
Germany,2020-07-05,estimate,0.94,0.84,1.05,0.91,1.0
Germany,2020-07-06,estimate,0.98,0.89,1.1,0.94,1.03
Germany,2020-07-07,estimate,1.01,0.91,1.14,0.96,1.05
