country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Austria,2020-07-06,estimate,1.08,1.08,0.06,1.09,1.12,1.05,1.13,0.98,1.18
Austria,2020-07-07,estimate,1.07,1.07,0.06,1.08,1.11,1.03,1.11,0.97,1.16
Austria,2020-07-08,estimate,1.06,1.06,0.06,1.04,1.07,1.02,1.1,0.96,1.15
Austria,2020-07-09,estimate,1.05,1.05,0.06,1.03,1.05,1.02,1.1,0.95,1.13
Austria,2020-07-10,estimate,1.05,1.04,0.06,1.02,1.05,1.01,1.09,0.96,1.14
Austria,2020-07-11,estimate,1.04,1.04,0.06,1.02,1.05,1.0,1.07,0.95,1.13
Austria,2020-07-12,estimate,1.03,1.03,0.06,1.01,1.03,1.0,1.07,0.94,1.13
Austria,2020-07-13,estimate,1.03,1.03,0.06,1.02,1.05,0.99,1.06,0.94,1.13
Austria,2020-07-14,estimate,1.02,1.02,0.06,1.02,1.04,0.98,1.06,0.93,1.12
Austria,2020-07-15,estimate,1.02,1.02,0.06,1.0,1.03,0.98,1.05,0.92,1.12
Austria,2020-07-16,estimate,1.01,1.02,0.06,1.02,1.05,0.97,1.05,0.92,1.12
Austria,2020-07-17,estimate,1.01,1.01,0.06,0.97,1.0,0.96,1.04,0.92,1.12
Austria,2020-07-18,estimate,1.01,1.01,0.06,0.99,1.02,0.96,1.04,0.91,1.11
Austria,2020-07-19,estimate,1.0,1.01,0.06,0.98,1.01,0.96,1.05,0.9,1.1
Austria,2020-07-20,estimate,1.0,1.0,0.06,0.99,1.02,0.97,1.06,0.92,1.11
Austria,2020-07-21,estimate,1.0,1.0,0.06,0.98,1.01,0.97,1.05,0.91,1.11
Austria,2020-07-22,estimate,1.0,1.0,0.06,0.97,1.0,0.97,1.05,0.91,1.11
Austria,2020-07-23,estimate,1.01,1.0,0.06,0.98,1.01,0.97,1.05,0.91,1.11
Austria,2020-07-24,estimate,1.01,1.01,0.06,1.0,1.03,0.98,1.05,0.91,1.11
Austria,2020-07-25,estimate,1.02,1.01,0.06,1.02,1.05,0.98,1.06,0.91,1.12
Austria,2020-07-26,estimate,1.02,1.02,0.06,1.02,1.05,0.99,1.07,0.91,1.11
Austria,2020-07-27,estimate,1.03,1.03,0.06,1.02,1.05,1.0,1.08,0.92,1.12
Austria,2020-07-28,estimate,1.04,1.04,0.06,1.02,1.05,1.02,1.1,0.93,1.13
Austria,2020-07-29,estimate,1.06,1.05,0.06,1.03,1.06,1.03,1.1,0.95,1.15
Austria,2020-07-30,estimate,1.07,1.07,0.06,1.07,1.09,1.04,1.11,0.96,1.16
