country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2021-12-01,,estimate,0.932253097596894,0.932343327587019,0.0150528894860959,0.907096697367757,0.922907038109864,0.928639118353668,0.935950087621363,0.94249831989516,0.956355806674153
Germany,2021-12-02,,estimate,0.922565303873684,0.922764460001853,0.0150780343193912,0.897570135999055,0.913222262884664,0.919022034172762,0.926385150886231,0.932988150247153,0.947291331401081
Germany,2021-12-03,,estimate,0.913563935278359,0.913659753874818,0.0151227521348202,0.888292653883922,0.903827733430622,0.910172575231247,0.917282317428437,0.923602080039528,0.937752281593242
Germany,2021-12-04,,estimate,0.904999109460244,0.90503627851867,0.0151646602485733,0.879889496691671,0.89530210866055,0.901644359759621,0.908623262293328,0.914708648443099,0.929427481536023
Germany,2021-12-05,,estimate,0.897003405514194,0.896900297429376,0.0151857553141007,0.87180657901786,0.887066465487656,0.893674836457995,0.900475131704444,0.906692341062859,0.92128373841849
Germany,2021-12-06,,estimate,0.889439730940556,0.889257615234461,0.0151791172480754,0.864326616136141,0.879228408619709,0.885902468089319,0.893005636838437,0.899081230967124,0.913580417447382
Germany,2021-12-07,,estimate,0.882396734887908,0.882113591360984,0.0151515874369225,0.857706999714343,0.872202754014429,0.878682933571309,0.886055013711026,0.891912874957926,0.906067725239171
Germany,2021-12-08,,estimate,0.875635938572417,0.875472874180677,0.0151228351948169,0.850739647628159,0.865453842426592,0.871797948933551,0.879348372391712,0.885352725976145,0.899693590417688
Germany,2021-12-09,,estimate,0.869505770940841,0.869338957141514,0.0151226597774979,0.844656700580188,0.859153742629761,0.865546632133753,0.873157887001014,0.879326679683479,0.893535594080134
Germany,2021-12-10,,estimate,0.863704933901775,0.863713677103934,0.0151886693514633,0.838729123978698,0.853787866175424,0.859666166354161,0.867455010299053,0.873854643609022,0.888298895597569
Germany,2021-12-11,,estimate,0.858511958407215,0.858596761541661,0.0153657050891584,0.833772912792863,0.848559908735775,0.854528287018034,0.862346563167206,0.86874874767784,0.883880949428547
Germany,2021-12-12,,estimate,0.853810723089161,0.853985494865397,0.0157068861340313,0.828726066230007,0.843807904665106,0.849925934764725,0.857871069379068,0.864153571672419,0.879641502640413
Germany,2021-12-13,,estimate,0.849951210527071,0.849874530172638,0.016274591159848,0.824047448625841,0.839092000605183,0.845795591557675,0.853724431398845,0.860081629117246,0.877037141623993
Germany,2021-12-14,,estimate,0.846203019204244,0.846255834444899,0.0171389431460216,0.818788811545242,0.834786140642983,0.84220027817371,0.850293701696226,0.857239487394633,0.874359404321716
Germany,2021-12-15,,estimate,0.843047502807109,0.843118729472495,0.0183721792575881,0.814248218343439,0.830997939515527,0.838576255625993,0.847327529693482,0.855226293051824,0.873496977142349
Germany,2021-12-16,,estimate,0.840293663457631,0.840449978895391,0.0200396157558558,0.808699065184723,0.827339438036054,0.835082302646605,0.845241696261869,0.853383272038327,0.874043056738843
Germany,2021-12-17,,estimate,0.837939224447773,0.838233872964809,0.0221903081150989,0.802602791282022,0.823767267026794,0.832066733702607,0.843310658400489,0.852747743196115,0.875217678599653
Germany,2021-12-18,,estimate,0.835911973027031,0.836452276425393,0.0248509251999545,0.796416664191912,0.819708398038806,0.829748190244585,0.842303800035321,0.852816036817672,0.877873234533558
Germany,2021-12-19,,estimate,0.834116309987866,0.835084629922845,0.0280244349042323,0.79040040279832,0.816268017668525,0.827347439573885,0.841571144076841,0.853497098815059,0.882194700215502
Germany,2021-12-20,,estimate,0.832800524850911,0.834107926522057,0.0316928185504201,0.784396011619008,0.812497984565684,0.8250649848675,0.841374631085791,0.854919725897393,0.887654203556868
Germany,2021-12-21,,estimate based on partial data,0.831698727168436,0.833496712565952,0.035821988696217,0.778092081987869,0.8090638074186,0.82328354070051,0.841135775967542,0.856874374522394,0.893699944693558
Germany,2021-12-22,,estimate based on partial data,0.831288380019144,0.83322317490826,0.0403673648508303,0.77167296042682,0.806183394451748,0.821436957468087,0.841338889104809,0.859257236253121,0.902238124067982
Germany,2021-12-23,,estimate based on partial data,0.830807808531909,0.83325736764584,0.0452791861136169,0.76363551154859,0.802917713731466,0.82016653732841,0.842057898030174,0.862101010195151,0.910046772822873
Germany,2021-12-24,,estimate based on partial data,0.830430116337494,0.833567603632551,0.0505069959871574,0.757399801402787,0.799649694848214,0.818549039857638,0.843241909211545,0.864940534066233,0.919351518137742
Germany,2021-12-25,,estimate based on partial data,0.830951185411641,0.834121002085245,0.0560028418992026,0.749768522070571,0.796978166035929,0.817170350733682,0.84461928816226,0.868464787852508,0.929430846472557
Germany,2021-12-26,,estimate based on partial data,0.831751371624453,0.834884160214627,0.0617228860719357,0.741712729129094,0.794131387706387,0.816201720465662,0.846221628016147,0.872277720392344,0.93891612659597
Germany,2021-12-27,,estimate based on partial data,0.831846257427825,0.835823914295848,0.0676275259187846,0.733775773338619,0.792151383342202,0.81540933144281,0.847989679093366,0.876329972483086,0.950145209666223
Germany,2021-12-28,,estimate based on partial data,0.832425757755805,0.836908169302543,0.0736806748713933,0.725881882842794,0.78913747614896,0.814550833716893,0.850480927474466,0.880288563811405,0.963346542473788
Germany,2021-12-29,,forecast,0.832425757755805,0.836908169302543,0.0736806748713933,0.725881882842794,0.78913747614896,0.814550833716893,0.850480927474466,0.880288563811405,0.963346542473788
Germany,2021-12-30,,forecast,0.832425757755805,0.836908169302543,0.0736806748713933,0.725881882842794,0.78913747614896,0.814550833716893,0.850480927474466,0.880288563811405,0.963346542473788
