"data_version","target","location","date","type","quantile","value"
2020-05-08,"R_t","AT",2020-04-03,"quantile",0.025,0.968187526161574
2020-05-08,"R_t","AT",2020-04-03,"quantile",0.975,1.01172038509837
2020-05-08,"R_t","AT",2020-04-04,"point",NA,0.918375889493512
2020-05-08,"R_t","AT",2020-04-04,"quantile",0.025,0.897865215571369
2020-05-08,"R_t","AT",2020-04-04,"quantile",0.975,0.93930514859774
2020-05-08,"R_t","AT",2020-04-05,"point",NA,0.871075763917957
2020-05-08,"R_t","AT",2020-04-05,"quantile",0.025,0.850983675177899
2020-05-08,"R_t","AT",2020-04-05,"quantile",0.975,0.8915864378401
2020-05-08,"R_t","AT",2020-04-06,"point",NA,0.829217245709502
2020-05-08,"R_t","AT",2020-04-06,"quantile",0.025,0.809125156969443
2020-05-08,"R_t","AT",2020-04-06,"quantile",0.975,0.848890749267476
2020-05-08,"R_t","AT",2020-04-07,"point",NA,0.755127668480536
2020-05-08,"R_t","AT",2020-04-07,"quantile",0.025,0.735872750104646
2020-05-08,"R_t","AT",2020-04-07,"quantile",0.975,0.774382586856425
2020-05-08,"R_t","AT",2020-04-08,"point",NA,0.721640853913771
2020-05-08,"R_t","AT",2020-04-08,"quantile",0.025,0.702385935537882
2020-05-08,"R_t","AT",2020-04-08,"quantile",0.975,0.740895772289661
2020-05-08,"R_t","AT",2020-04-09,"point",NA,0.728756802009209
2020-05-08,"R_t","AT",2020-04-09,"quantile",0.025,0.709083298451235
2020-05-08,"R_t","AT",2020-04-09,"quantile",0.975,0.748848890749268
2020-05-08,"R_t","AT",2020-04-10,"point",NA,0.725826705734617
2020-05-08,"R_t","AT",2020-04-10,"quantile",0.025,0.705316031812474
2020-05-08,"R_t","AT",2020-04-10,"quantile",0.975,0.74633737965676
2020-05-08,"R_t","AT",2020-04-11,"point",NA,0.678107994976978
2020-05-08,"R_t","AT",2020-04-11,"quantile",0.025,0.658015906236919
2020-05-08,"R_t","AT",2020-04-11,"quantile",0.975,0.699037254081206
2020-05-08,"R_t","AT",2020-04-12,"point",NA,0.646714106320636
2020-05-08,"R_t","AT",2020-04-12,"quantile",0.025,0.625784847216409
2020-05-08,"R_t","AT",2020-04-12,"quantile",0.975,0.667643365424864
2020-05-08,"R_t","AT",2020-04-13,"point",NA,0.625784847216409
2020-05-08,"R_t","AT",2020-04-13,"quantile",0.025,0.604855588112181
2020-05-08,"R_t","AT",2020-04-13,"quantile",0.975,0.647551276684805
2020-05-08,"R_t","AT",2020-04-14,"point",NA,0.623691921305986
2020-05-08,"R_t","AT",2020-04-14,"quantile",0.025,0.601925491837589
2020-05-08,"R_t","AT",2020-04-14,"quantile",0.975,0.645876935956467
2020-05-08,"R_t","AT",2020-04-15,"point",NA,0.621180410213478
2020-05-08,"R_t","AT",2020-04-15,"quantile",0.025,0.598576810380912
2020-05-08,"R_t","AT",2020-04-15,"quantile",0.975,0.644621180410213
2020-05-08,"R_t","AT",2020-04-16,"point",NA,0.645876935956467
2020-05-08,"R_t","AT",2020-04-16,"quantile",0.025,0.621598995395563
2020-05-08,"R_t","AT",2020-04-16,"quantile",0.975,0.67099204688154
2020-05-08,"R_t","AT",2020-04-17,"point",NA,0.673503557974048
2020-05-08,"R_t","AT",2020-04-17,"quantile",0.025,0.647132691502721
2020-05-08,"R_t","AT",2020-04-17,"quantile",0.975,0.700293009627459
