"data_version","target","location","date","type","quantile","value"
2020-07-03,"R_t","AT",2020-03-10,"point",NA,2.72457095018836
2020-07-03,"R_t","AT",2020-03-10,"quantile",0.025,2.36375052323148
2020-07-03,"R_t","AT",2020-03-10,"quantile",0.975,3.10966931770615
2020-07-03,"R_t","AT",2020-03-11,"point",NA,3.15864378401005
2020-07-03,"R_t","AT",2020-03-11,"quantile",0.025,2.81707827542905
2020-07-03,"R_t","AT",2020-03-11,"quantile",0.975,3.51904562578485
2020-07-03,"R_t","AT",2020-03-12,"point",NA,3.0732524068648
2020-07-03,"R_t","AT",2020-03-12,"quantile",0.025,2.78107994976978
2020-07-03,"R_t","AT",2020-03-12,"quantile",0.975,3.37923817496861
2020-07-03,"R_t","AT",2020-03-13,"point",NA,3.26119715362076
2020-07-03,"R_t","AT",2020-03-13,"quantile",0.025,3.00167434072834
2020-07-03,"R_t","AT",2020-03-13,"quantile",0.975,3.53076601088321
2020-07-03,"R_t","AT",2020-03-14,"point",NA,3.2113855169527
2020-07-03,"R_t","AT",2020-03-14,"quantile",0.025,2.99120971117622
2020-07-03,"R_t","AT",2020-03-14,"quantile",0.975,3.43867727082461
2020-07-03,"R_t","AT",2020-03-15,"point",NA,2.89786521557137
2020-07-03,"R_t","AT",2020-03-15,"quantile",0.025,2.71912934282126
2020-07-03,"R_t","AT",2020-03-15,"quantile",0.975,3.08078694014232
2020-07-03,"R_t","AT",2020-03-16,"point",NA,2.61532021766429
2020-07-03,"R_t","AT",2020-03-16,"quantile",0.025,2.46923398911679
2020-07-03,"R_t","AT",2020-03-16,"quantile",0.975,2.7643365424864
2020-07-03,"R_t","AT",2020-03-17,"point",NA,2.53495186270406
2020-07-03,"R_t","AT",2020-03-17,"quantile",0.025,2.40937630807869
2020-07-03,"R_t","AT",2020-03-17,"quantile",0.975,2.66303892842193
2020-07-03,"R_t","AT",2020-03-18,"point",NA,2.4416073670992
2020-07-03,"R_t","AT",2020-03-18,"quantile",0.025,2.33277521975722
2020-07-03,"R_t","AT",2020-03-18,"quantile",0.975,2.55211385516953
2020-07-03,"R_t","AT",2020-03-19,"point",NA,2.35077438258686
2020-07-03,"R_t","AT",2020-03-19,"quantile",0.025,2.25575554625366
2020-07-03,"R_t","AT",2020-03-19,"quantile",0.975,2.44663038928422
2020-07-03,"R_t","AT",2020-03-20,"point",NA,2.26077856843868
2020-07-03,"R_t","AT",2020-03-20,"quantile",0.025,2.17789870238594
2020-07-03,"R_t","AT",2020-03-20,"quantile",0.975,2.34449560485559
2020-07-03,"R_t","AT",2020-03-21,"point",NA,2.15278359146086
2020-07-03,"R_t","AT",2020-03-21,"quantile",0.025,2.07994976977815
2020-07-03,"R_t","AT",2020-03-21,"quantile",0.975,2.22603599832566
2020-07-03,"R_t","AT",2020-03-22,"point",NA,2.06571787358728
2020-07-03,"R_t","AT",2020-03-22,"quantile",0.025,2.00125575554625
2020-07-03,"R_t","AT",2020-03-22,"quantile",0.975,2.1301799916283
2020-07-03,"R_t","AT",2020-03-23,"point",NA,1.97990791125994
2020-07-03,"R_t","AT",2020-03-23,"quantile",0.025,1.92256174131436
2020-07-03,"R_t","AT",2020-03-23,"quantile",0.975,2.03725408120553
2020-07-03,"R_t","AT",2020-03-24,"point",NA,1.87735454164923
2020-07-03,"R_t","AT",2020-03-24,"quantile",0.025,1.82628714943491
2020-07-03,"R_t","AT",2020-03-24,"quantile",0.975,1.92842193386354
2020-07-03,"R_t","AT",2020-03-25,"point",NA,1.78945165341147
2020-07-03,"R_t","AT",2020-03-25,"quantile",0.025,1.74340728338217
2020-07-03,"R_t","AT",2020-03-25,"quantile",0.975,1.83507743825869
2020-07-03,"R_t","AT",2020-03-26,"point",NA,1.76308078694014
2020-07-03,"R_t","AT",2020-03-26,"quantile",0.025,1.7208036835496
2020-07-03,"R_t","AT",2020-03-26,"quantile",0.975,1.80535789033068
2020-07-03,"R_t","AT",2020-03-27,"point",NA,1.65383005441607
2020-07-03,"R_t","AT",2020-03-27,"quantile",0.025,1.61573880284638
2020-07-03,"R_t","AT",2020-03-27,"quantile",0.975,1.69150272080368
2020-07-03,"R_t","AT",2020-03-28,"point",NA,1.52658015906237
2020-07-03,"R_t","AT",2020-03-28,"quantile",0.025,1.49225617413144
2020-07-03,"R_t","AT",2020-03-28,"quantile",0.975,1.56048555881122
2020-07-03,"R_t","AT",2020-03-29,"point",NA,1.41398074508162
2020-07-03,"R_t","AT",2020-03-29,"quantile",0.025,1.38258685642528
2020-07-03,"R_t","AT",2020-03-29,"quantile",0.975,1.4445374633738
2020-07-03,"R_t","AT",2020-03-30,"point",NA,1.34198409376308
2020-07-03,"R_t","AT",2020-03-30,"quantile",0.025,1.31310171619925
2020-07-03,"R_t","AT",2020-03-30,"quantile",0.975,1.37086647132691
2020-07-03,"R_t","AT",2020-03-31,"point",NA,1.26496442025952
2020-07-03,"R_t","AT",2020-03-31,"quantile",0.025,1.23775638342403
2020-07-03,"R_t","AT",2020-03-31,"quantile",0.975,1.29133528673085
2020-07-03,"R_t","AT",2020-04-01,"point",NA,1.19547928003349
2020-07-03,"R_t","AT",2020-04-01,"quantile",0.025,1.16994558392633
2020-07-03,"R_t","AT",2020-04-01,"quantile",0.975,1.22059439095856
2020-07-03,"R_t","AT",2020-04-02,"point",NA,1.12431979907911
2020-07-03,"R_t","AT",2020-04-02,"quantile",0.025,1.10004185851821
2020-07-03,"R_t","AT",2020-04-02,"quantile",0.975,1.14776056927585
2020-07-03,"R_t","AT",2020-04-03,"point",NA,1.0623691921306
2020-07-03,"R_t","AT",2020-04-03,"quantile",0.025,1.03934700711595
2020-07-03,"R_t","AT",2020-04-03,"quantile",0.975,1.08455420678108
2020-07-03,"R_t","AT",2020-04-04,"point",NA,0.99079112599414
2020-07-03,"R_t","AT",2020-04-04,"quantile",0.025,0.969024696525743
2020-07-03,"R_t","AT",2020-04-04,"quantile",0.975,1.01255755546254
2020-07-03,"R_t","AT",2020-04-05,"point",NA,0.918794474675596
2020-07-03,"R_t","AT",2020-04-05,"quantile",0.025,0.898283800753453
2020-07-03,"R_t","AT",2020-04-05,"quantile",0.975,0.939723733779824
