"data_version","target","location","date","type","quantile","value"
2020-10-09,"R_t","AT",2020-03-10,"point",NA,2.72457095018836
2020-10-09,"R_t","AT",2020-03-10,"quantile",0.025,2.36375052323148
2020-10-09,"R_t","AT",2020-03-10,"quantile",0.975,3.10966931770615
2020-10-09,"R_t","AT",2020-03-11,"point",NA,3.15864378401005
2020-10-09,"R_t","AT",2020-03-11,"quantile",0.025,2.81707827542905
2020-10-09,"R_t","AT",2020-03-11,"quantile",0.975,3.51904562578485
2020-10-09,"R_t","AT",2020-03-12,"point",NA,3.0732524068648
2020-10-09,"R_t","AT",2020-03-12,"quantile",0.025,2.78107994976978
2020-10-09,"R_t","AT",2020-03-12,"quantile",0.975,3.37923817496861
2020-10-09,"R_t","AT",2020-03-13,"point",NA,3.26663876098786
2020-10-09,"R_t","AT",2020-03-13,"quantile",0.025,3.00711594809544
2020-10-09,"R_t","AT",2020-03-13,"quantile",0.975,3.53620761825031
2020-10-09,"R_t","AT",2020-03-14,"point",NA,3.21431561322729
2020-10-09,"R_t","AT",2020-03-14,"quantile",0.025,2.99413980745082
2020-10-09,"R_t","AT",2020-03-14,"quantile",0.975,3.44202595228129
2020-10-09,"R_t","AT",2020-03-15,"point",NA,2.89870238593554
2020-10-09,"R_t","AT",2020-03-15,"quantile",0.025,2.72038509836752
2020-10-09,"R_t","AT",2020-03-15,"quantile",0.975,3.08204269568857
2020-10-09,"R_t","AT",2020-03-16,"point",NA,2.61490163248221
2020-10-09,"R_t","AT",2020-03-16,"quantile",0.025,2.4688154039347
2020-10-09,"R_t","AT",2020-03-16,"quantile",0.975,2.7643365424864
2020-10-09,"R_t","AT",2020-03-17,"point",NA,2.53411469233989
2020-10-09,"R_t","AT",2020-03-17,"quantile",0.025,2.40853913771452
2020-10-09,"R_t","AT",2020-03-17,"quantile",0.975,2.66220175805776
2020-10-09,"R_t","AT",2020-03-18,"point",NA,2.44202595228129
2020-10-09,"R_t","AT",2020-03-18,"quantile",0.025,2.33277521975722
2020-10-09,"R_t","AT",2020-03-18,"quantile",0.975,2.55211385516953
2020-10-09,"R_t","AT",2020-03-19,"point",NA,2.35161155295103
2020-10-09,"R_t","AT",2020-03-19,"quantile",0.025,2.25659271661783
2020-10-09,"R_t","AT",2020-03-19,"quantile",0.975,2.44746755964839
2020-10-09,"R_t","AT",2020-03-20,"point",NA,2.26119715362076
2020-10-09,"R_t","AT",2020-03-20,"quantile",0.025,2.17789870238594
2020-10-09,"R_t","AT",2020-03-20,"quantile",0.975,2.34491419003767
2020-10-09,"R_t","AT",2020-03-21,"point",NA,2.15194642109669
2020-10-09,"R_t","AT",2020-03-21,"quantile",0.025,2.07911259941398
2020-10-09,"R_t","AT",2020-03-21,"quantile",0.975,2.22519882796149
2020-10-09,"R_t","AT",2020-03-22,"point",NA,2.06488070322311
2020-10-09,"R_t","AT",2020-03-22,"quantile",0.025,2.00041858518208
2020-10-09,"R_t","AT",2020-03-22,"quantile",0.975,2.12976140644621
2020-10-09,"R_t","AT",2020-03-23,"point",NA,1.97948932607786
2020-10-09,"R_t","AT",2020-03-23,"quantile",0.025,1.92172457095019
2020-10-09,"R_t","AT",2020-03-23,"quantile",0.975,2.03683549602344
2020-10-09,"R_t","AT",2020-03-24,"point",NA,1.87735454164923
2020-10-09,"R_t","AT",2020-03-24,"quantile",0.025,1.82628714943491
2020-10-09,"R_t","AT",2020-03-24,"quantile",0.975,1.92842193386354
2020-10-09,"R_t","AT",2020-03-25,"point",NA,1.78903306822938
2020-10-09,"R_t","AT",2020-03-25,"quantile",0.025,1.74298869820008
2020-10-09,"R_t","AT",2020-03-25,"quantile",0.975,1.8346588530766
2020-10-09,"R_t","AT",2020-03-26,"point",NA,1.76266220175806
2020-10-09,"R_t","AT",2020-03-26,"quantile",0.025,1.72038509836752
2020-10-09,"R_t","AT",2020-03-26,"quantile",0.975,1.80452071996651
2020-10-09,"R_t","AT",2020-03-27,"point",NA,1.65424863959816
2020-10-09,"R_t","AT",2020-03-27,"quantile",0.025,1.61615738802846
2020-10-09,"R_t","AT",2020-03-27,"quantile",0.975,1.69233989116785
2020-10-09,"R_t","AT",2020-03-28,"point",NA,1.52658015906237
2020-10-09,"R_t","AT",2020-03-28,"quantile",0.025,1.49225617413144
2020-10-09,"R_t","AT",2020-03-28,"quantile",0.975,1.5609041439933
2020-10-09,"R_t","AT",2020-03-29,"point",NA,1.41398074508162
2020-10-09,"R_t","AT",2020-03-29,"quantile",0.025,1.38258685642528
2020-10-09,"R_t","AT",2020-03-29,"quantile",0.975,1.44495604855588
2020-10-09,"R_t","AT",2020-03-30,"point",NA,1.34198409376308
2020-10-09,"R_t","AT",2020-03-30,"quantile",0.025,1.31310171619925
2020-10-09,"R_t","AT",2020-03-30,"quantile",0.975,1.37044788614483
2020-10-09,"R_t","AT",2020-03-31,"point",NA,1.26496442025952
2020-10-09,"R_t","AT",2020-03-31,"quantile",0.025,1.23775638342403
2020-10-09,"R_t","AT",2020-03-31,"quantile",0.975,1.29133528673085
2020-10-09,"R_t","AT",2020-04-01,"point",NA,1.19547928003349
2020-10-09,"R_t","AT",2020-04-01,"quantile",0.025,1.16994558392633
2020-10-09,"R_t","AT",2020-04-01,"quantile",0.975,1.22059439095856
2020-10-09,"R_t","AT",2020-04-02,"point",NA,1.12431979907911
2020-10-09,"R_t","AT",2020-04-02,"quantile",0.025,1.10004185851821
2020-10-09,"R_t","AT",2020-04-02,"quantile",0.975,1.14776056927585
2020-10-09,"R_t","AT",2020-04-03,"point",NA,1.0623691921306
2020-10-09,"R_t","AT",2020-04-03,"quantile",0.025,1.03934700711595
2020-10-09,"R_t","AT",2020-04-03,"quantile",0.975,1.08455420678108
2020-10-09,"R_t","AT",2020-04-04,"point",NA,0.99079112599414
2020-10-09,"R_t","AT",2020-04-04,"quantile",0.025,0.969024696525743
2020-10-09,"R_t","AT",2020-04-04,"quantile",0.975,1.01213897028045
2020-10-09,"R_t","AT",2020-04-05,"point",NA,0.918794474675596
2020-10-09,"R_t","AT",2020-04-05,"quantile",0.025,0.898283800753453
2020-10-09,"R_t","AT",2020-04-05,"quantile",0.975,0.939723733779824
2020-10-09,"R_t","AT",2020-04-06,"point",NA,0.870238593553788
2020-10-09,"R_t","AT",2020-04-06,"quantile",0.025,0.85014650481373
2020-10-09,"R_t","AT",2020-04-06,"quantile",0.975,0.890749267475931
2020-10-09,"R_t","AT",2020-04-07,"point",NA,0.827961490163248
2020-10-09,"R_t","AT",2020-04-07,"quantile",0.025,0.808287986605274
2020-10-09,"R_t","AT",2020-04-07,"quantile",0.975,0.848053578903307
2020-10-09,"R_t","AT",2020-04-08,"point",NA,0.75554625366262
2020-10-09,"R_t","AT",2020-04-08,"quantile",0.025,0.736291335286731
2020-10-09,"R_t","AT",2020-04-08,"quantile",0.975,0.77480117203851
2020-10-09,"R_t","AT",2020-04-09,"point",NA,0.721640853913771
2020-10-09,"R_t","AT",2020-04-09,"quantile",0.025,0.702385935537882
2020-10-09,"R_t","AT",2020-04-09,"quantile",0.975,0.740895772289661
2020-10-09,"R_t","AT",2020-04-10,"point",NA,0.729593972373378
2020-10-09,"R_t","AT",2020-04-10,"quantile",0.025,0.709920468815404
2020-10-09,"R_t","AT",2020-04-10,"quantile",0.975,0.749686061113437
2020-10-09,"R_t","AT",2020-04-11,"point",NA,0.726663876098786
2020-10-09,"R_t","AT",2020-04-11,"quantile",0.025,0.706571787358727
