"data_version","target","location","date","type","quantile","value"
2020-04-30,"R_t","AT",2020-03-10,"point",NA,3.12515696944328
2020-04-30,"R_t","AT",2020-03-10,"quantile",0.025,2.78652155713688
2020-04-30,"R_t","AT",2020-03-10,"quantile",0.975,3.48304730012558
2020-04-30,"R_t","AT",2020-03-11,"point",NA,3.07157806613646
2020-04-30,"R_t","AT",2020-03-11,"quantile",0.025,2.78024277940561
2020-04-30,"R_t","AT",2020-03-11,"quantile",0.975,3.37756383424027
2020-04-30,"R_t","AT",2020-03-12,"point",NA,3.26454583507744
2020-04-30,"R_t","AT",2020-03-12,"quantile",0.025,3.0054416073671
2020-04-30,"R_t","AT",2020-03-12,"quantile",0.975,3.53453327752198
2020-04-30,"R_t","AT",2020-03-13,"point",NA,3.2113855169527
2020-04-30,"R_t","AT",2020-03-13,"quantile",0.025,2.99120971117622
2020-04-30,"R_t","AT",2020-03-13,"quantile",0.975,3.43867727082461
2020-04-30,"R_t","AT",2020-03-14,"point",NA,2.89200502302219
2020-04-30,"R_t","AT",2020-03-14,"quantile",0.025,2.71410632063625
2020-04-30,"R_t","AT",2020-03-14,"quantile",0.975,3.0757639179573
2020-04-30,"R_t","AT",2020-03-15,"point",NA,2.60569275847635
2020-04-30,"R_t","AT",2020-03-15,"quantile",0.025,2.46044370029301
2020-04-30,"R_t","AT",2020-03-15,"quantile",0.975,2.75554625366262
2020-04-30,"R_t","AT",2020-03-16,"point",NA,2.51904562578485
2020-04-30,"R_t","AT",2020-03-16,"quantile",0.025,2.39388865634157
2020-04-30,"R_t","AT",2020-03-16,"quantile",0.975,2.64713269150272
2020-04-30,"R_t","AT",2020-03-17,"point",NA,2.42863122645458
2020-04-30,"R_t","AT",2020-03-17,"quantile",0.025,2.32021766429468
2020-04-30,"R_t","AT",2020-03-17,"quantile",0.975,2.53913771452491
2020-04-30,"R_t","AT",2020-03-18,"point",NA,2.34030975303474
2020-04-30,"R_t","AT",2020-03-18,"quantile",0.025,2.24612808706572
