"data_version","target","location","date","type","quantile","value"
2021-06-18,"R_t","AT",2020-03-10,"point",NA,2.18415507796039
2021-06-18,"R_t","AT",2020-03-10,"quantile",0.025,1.89506953223767
2021-06-18,"R_t","AT",2020-03-10,"quantile",0.975,2.49304677623262
2021-06-18,"R_t","AT",2020-03-11,"point",NA,2.56679308891698
2021-06-18,"R_t","AT",2020-03-11,"quantile",0.025,2.28950695322377
2021-06-18,"R_t","AT",2020-03-11,"quantile",0.975,2.85967130214918
2021-06-18,"R_t","AT",2020-03-12,"point",NA,2.49431099873578
2021-06-18,"R_t","AT",2020-03-12,"quantile",0.025,2.2574799831437
2021-06-18,"R_t","AT",2020-03-12,"quantile",0.975,2.7425200168563
2021-06-18,"R_t","AT",2020-03-13,"point",NA,2.63126843657817
2021-06-18,"R_t","AT",2020-03-13,"quantile",0.025,2.42267172355668
2021-06-18,"R_t","AT",2020-03-13,"quantile",0.975,2.84871470712179
2021-06-18,"R_t","AT",2020-03-14,"point",NA,2.574799831437
2021-06-18,"R_t","AT",2020-03-14,"quantile",0.025,2.39865149599663
2021-06-18,"R_t","AT",2020-03-14,"quantile",0.975,2.75684787189212
2021-06-18,"R_t","AT",2020-03-15,"point",NA,2.31057732827644
2021-06-18,"R_t","AT",2020-03-15,"quantile",0.025,2.16814159292035
2021-06-18,"R_t","AT",2020-03-15,"quantile",0.975,2.45680573114201
2021-06-18,"R_t","AT",2020-03-16,"point",NA,2.09186683522967
2021-06-18,"R_t","AT",2020-03-16,"quantile",0.025,1.97513695743784
2021-06-18,"R_t","AT",2020-03-16,"quantile",0.975,2.21112515802781
2021-06-18,"R_t","AT",2020-03-17,"point",NA,2.05014749262537
2021-06-18,"R_t","AT",2020-03-17,"quantile",0.025,1.94858828487147
2021-06-18,"R_t","AT",2020-03-17,"quantile",0.975,2.15381373788453
2021-06-18,"R_t","AT",2020-03-18,"point",NA,1.99957859249895
2021-06-18,"R_t","AT",2020-03-18,"quantile",0.025,1.9102402022756
