Country/Region,Date,R,ci_95_u,ci_95_l,ci_65_u,ci_65_l,days_infectious,last_updated
Austria,2020-03-09,2.220297180212486,2.48066414286888,1.9547683355611865,2.3441489217226703,2.0962164829972103,5,2021-09-03
Austria,2020-03-10,2.256486094002052,2.4894878198314503,2.0212328743808525,2.367826328201507,2.1445585035003,5,2021-09-03
Austria,2020-03-11,2.30251907762713,2.521744061341151,2.082918039577029,2.408151050889183,2.19704018533849,5,2021-09-03
Austria,2020-03-12,2.3369975715011746,2.5504784126155067,2.1255419701699325,2.4388084912513364,2.2352201408437167,5,2021-09-03
Austria,2020-03-13,2.409939365908902,2.630669543717512,2.1947601501897065,2.513738240141912,2.30660853482827,5,2021-09-03
Austria,2020-03-14,2.33929634965581,2.548643034356373,2.132212593861631,2.4385735452319643,2.2404668836250234,5,2021-09-03
Austria,2020-03-15,2.256650514747621,2.4620284430500154,2.056261167672216,2.35191316102146,2.161126397124141,5,2021-09-03
Austria,2020-03-16,2.179716703315993,2.378491880895683,1.98388927924364,2.272759035469627,2.086064515093054,5,2021-09-03
Austria,2020-03-17,2.1323358233493326,2.3302922187286934,1.9366876129111288,2.2257280337827785,2.0391998735815378,5,2021-09-03
Austria,2020-03-18,2.0629458519102712,2.259833794202623,1.8687305110653976,2.1559313811746392,1.9693744138360625,5,2021-09-03
Austria,2020-03-19,1.981348324480568,2.17446626050696,1.7888688641183077,2.0731217149273244,1.8896175999689389,5,2021-09-03
Austria,2020-03-20,1.9040664902900128,2.0965117302007226,1.7130830691743295,1.9965708018732256,1.8118225937951264,5,2021-09-03
Austria,2020-03-21,1.8874513352402331,2.084163135128992,1.6955751076495291,1.980793380311996,1.7934665505251408,5,2021-09-03
Austria,2020-03-22,1.8683280459665543,2.069460933688178,1.6724782297704155,1.9637593471063923,1.7740233455718937,5,2021-09-03
Austria,2020-03-23,1.795153382974847,1.9947118910757515,1.5980073730729671,1.8908062659374287,1.700486145140862,5,2021-09-03
Austria,2020-03-24,1.6652187126076743,1.8587841488444383,1.4732797952129335,1.756597764500884,1.5731149662069734,5,2021-09-03
Austria,2020-03-25,1.5435797697452458,1.7353392355632118,1.352125388287571,1.6349912148381467,1.451988048157366,5,2021-09-03
