country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2021-01-30,,estimate,0.740908870525232,0.742575130783034,0.0752612608528175,0.62263363708929,0.691171284767313,0.721401648506155,0.758482836314135,0.790493557430206,0.870347956259111
Germany,2021-01-31,,estimate,0.747385305588338,0.748519594838043,0.0639513069860877,0.646041130807233,0.705263615325573,0.730736688016084,0.763740552525282,0.789075878787038,0.858968363605277
Germany,2021-02-01,,estimate,0.75627938461294,0.757390068521821,0.0548536864832148,0.668784995993512,0.718938764615605,0.742388427789391,0.770905908099184,0.793989596969374,0.850412651483564
Germany,2021-02-02,,estimate,0.76926884330547,0.769380049832091,0.0479198261525975,0.691451873663208,0.736269180858324,0.756503294338323,0.782081912028734,0.801167589585015,0.850108812716396
Germany,2021-02-03,,estimate,0.785114738612014,0.784588019585297,0.0429590765044894,0.714476034320575,0.756047786556743,0.773874493003864,0.795620145361595,0.813892712439129,0.855491301765132
Germany,2021-02-04,,estimate,0.804089231510258,0.802994186130955,0.0396524528210223,0.736761951342077,0.77636568214076,0.793729954245267,0.813459857652969,0.829539058292703,0.86664048389719
Germany,2021-02-05,,estimate,0.825750846318362,0.824435413788369,0.0376139060708806,0.761029263252941,0.799222297296452,0.816272245240668,0.834905519598943,0.849584337972988,0.884734296453448
Germany,2021-02-06,,estimate,0.84963599985107,0.848581812909343,0.0364751634915675,0.787847179861224,0.824666370960805,0.840565737994784,0.858561176671494,0.873457751463286,0.905911524358633
Germany,2021-02-07,,estimate,0.875368521096451,0.874920347558116,0.0359542182091728,0.814576194883602,0.851692831615654,0.866355453842395,0.885158798386471,0.899233450184916,0.931190328635857
Germany,2021-02-08,,estimate,0.902520548640748,0.90275158052744,0.0358882751870798,0.845538777416908,0.87863010108143,0.893601579671896,0.911873948039515,0.927336327484182,0.960674973455861
Germany,2021-02-09,,estimate,0.930493377344411,0.93120514295875,0.0362304823072475,0.874080065074845,0.906609417391955,0.921380041167859,0.939149749725103,0.954685179302211,0.992524274220605
Germany,2021-02-10,,estimate,0.957951809117891,0.959277817232207,0.0370040579705817,0.901139277832176,0.934145601105107,0.949165276472603,0.967470594252115,0.982712708695309,1.02254405408212
Germany,2021-02-11,,estimate,0.984321384235099,0.985895484000249,0.0382088965576508,0.92643477960478,0.95910180695886,0.974839195273139,0.993669904928766,1.00957546449309,1.05192028291178
Germany,2021-02-12,,estimate,1.00741606162314,1.0099966495594,0.0397158402795589,0.948242326274591,0.982561068148325,0.998000020617443,1.01756171468648,1.03469544730079,1.07807098380667
Germany,2021-02-13,,estimate,1.02803900457575,1.03063071194322,0.0412264177546498,0.967526986870842,1.00228555668201,1.01743545264712,1.03842915942035,1.05688427373572,1.102325191284
Germany,2021-02-14,,estimate,1.04398227920622,1.04705885073801,0.0423475652308071,0.982050321013408,1.01798630897497,1.03400037534489,1.05474442940326,1.07451591547823,1.11923415110404
Germany,2021-02-15,,estimate,1.05607827509579,1.05884096569773,0.0427458331304445,0.993123399186589,1.02929144060511,1.04596767446581,1.06722738343499,1.08664880915766,1.13253291525059
Germany,2021-02-16,,estimate,1.06389386975273,1.06589109356412,0.042295173917139,0.999999190109317,1.03640250557469,1.05353860693655,1.07442875164426,1.09330984757522,1.13928817364293
