country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-06-13,estimate,1.07,1.0,1.17,1.03,1.1
Germany,2020-06-14,estimate,1.06,0.98,1.15,1.02,1.08
Germany,2020-06-15,estimate,1.04,0.95,1.12,1.0,1.06
Germany,2020-06-16,estimate,1.02,0.94,1.1,0.98,1.04
Germany,2020-06-17,estimate,1.0,0.92,1.08,0.97,1.03
Germany,2020-06-18,estimate,0.98,0.89,1.06,0.95,1.02
Germany,2020-06-19,estimate,0.96,0.89,1.04,0.94,1.0
Germany,2020-06-20,estimate,0.95,0.87,1.03,0.92,0.99
Germany,2020-06-21,estimate,0.93,0.85,1.01,0.9,0.97
Germany,2020-06-22,estimate,0.92,0.83,0.99,0.88,0.95
Germany,2020-06-23,estimate,0.91,0.82,0.98,0.88,0.94
Germany,2020-06-24,estimate,0.9,0.81,0.97,0.88,0.94
Germany,2020-06-25,estimate,0.89,0.81,0.97,0.86,0.93
Germany,2020-06-26,estimate,0.89,0.8,0.97,0.85,0.92
Germany,2020-06-27,estimate,0.88,0.8,0.96,0.86,0.92
Germany,2020-06-28,estimate,0.89,0.8,0.97,0.85,0.91
Germany,2020-06-29,estimate,0.89,0.81,0.97,0.85,0.92
Germany,2020-06-30,estimate,0.89,0.81,0.98,0.86,0.92
Germany,2020-07-01,estimate,0.9,0.82,0.98,0.87,0.94
Germany,2020-07-02,estimate,0.91,0.83,0.99,0.89,0.95
Germany,2020-07-03,estimate,0.93,0.85,1.01,0.9,0.97
Germany,2020-07-04,estimate,0.94,0.86,1.03,0.91,0.98
Germany,2020-07-05,estimate,0.96,0.87,1.04,0.92,0.99
Germany,2020-07-06,estimate,0.98,0.9,1.07,0.94,1.01
Germany,2020-07-07,estimate,1.0,0.92,1.09,0.97,1.03
Germany,2020-07-08,estimate,1.02,0.93,1.1,0.98,1.05
Germany,2020-07-09,estimate,1.04,0.95,1.12,1.0,1.06
Germany,2020-07-10,estimate,1.06,0.98,1.15,1.02,1.09
Germany,2020-07-11,estimate,1.08,1.0,1.18,1.05,1.12
Germany,2020-07-12,estimate,1.1,1.01,1.19,1.05,1.12
Germany,2020-07-13,estimate,1.12,1.03,1.21,1.07,1.15
Germany,2020-07-14,estimate,1.13,1.04,1.23,1.09,1.16
Germany,2020-07-15,estimate,1.15,1.05,1.25,1.11,1.18
Germany,2020-07-16,estimate,1.16,1.06,1.27,1.11,1.2
Germany,2020-07-17,estimate,1.17,1.08,1.29,1.13,1.21
Germany,2020-07-18,estimate,1.18,1.09,1.29,1.12,1.2
Germany,2020-07-19,estimate,1.19,1.09,1.3,1.14,1.23
Germany,2020-07-20,estimate,1.19,1.09,1.3,1.14,1.22
Germany,2020-07-21,estimate,1.19,1.1,1.3,1.15,1.22
Germany,2020-07-22,estimate,1.19,1.09,1.29,1.15,1.23
Germany,2020-07-23,estimate,1.19,1.1,1.28,1.15,1.22
Germany,2020-07-24,estimate,1.19,1.09,1.28,1.15,1.22
Germany,2020-07-25,estimate,1.18,1.09,1.27,1.14,1.21
Germany,2020-07-26,estimate,1.17,1.09,1.27,1.14,1.21
