country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-06-01,estimate,0.84,0.71,1.03,0.75,0.89
Germany,2020-06-02,estimate,0.87,0.74,1.04,0.8,0.92
Germany,2020-06-03,estimate,0.9,0.78,1.04,0.83,0.95
Germany,2020-06-04,estimate,0.94,0.83,1.06,0.88,0.98
Germany,2020-06-05,estimate,0.98,0.88,1.08,0.95,1.03
Germany,2020-06-06,estimate,1.02,0.93,1.12,0.97,1.05
Germany,2020-06-07,estimate,1.06,0.96,1.18,1.01,1.09
Germany,2020-06-08,estimate,1.1,0.97,1.23,1.04,1.15
Germany,2020-06-09,estimate,1.14,0.99,1.29,1.08,1.21
Germany,2020-06-10,estimate,1.18,1.0,1.34,1.1,1.26
Germany,2020-06-11,estimate,1.2,1.01,1.39,1.12,1.29
Germany,2020-06-12,estimate,1.22,1.02,1.42,1.16,1.34
Germany,2020-06-13,estimate,1.23,1.01,1.42,1.15,1.33
Germany,2020-06-14,estimate,1.22,1.0,1.4,1.14,1.32
Germany,2020-06-15,estimate,1.2,1.0,1.38,1.13,1.29
Germany,2020-06-16,estimate,1.17,0.98,1.33,1.11,1.26
Germany,2020-06-17,estimate,1.14,0.98,1.28,1.05,1.19
Germany,2020-06-18,estimate,1.09,0.96,1.23,1.04,1.15
Germany,2020-06-19,estimate,1.05,0.94,1.17,0.99,1.08
Germany,2020-06-20,estimate,1.0,0.91,1.12,0.96,1.04
Germany,2020-06-21,estimate,0.97,0.87,1.08,0.92,1.0
Germany,2020-06-22,estimate,0.93,0.82,1.03,0.88,0.97
Germany,2020-06-23,estimate,0.89,0.77,1.0,0.84,0.94
Germany,2020-06-24,estimate,0.86,0.73,0.98,0.79,0.89
Germany,2020-06-25,estimate,0.83,0.71,0.98,0.77,0.88
Germany,2020-06-26,estimate,0.81,0.69,0.96,0.73,0.85
Germany,2020-06-27,estimate,0.8,0.68,0.96,0.72,0.83
Germany,2020-06-28,estimate,0.79,0.67,0.95,0.72,0.83
Germany,2020-06-29,estimate,0.79,0.68,0.95,0.73,0.83
Germany,2020-06-30,estimate,0.8,0.68,0.95,0.73,0.84
Germany,2020-07-01,estimate,0.81,0.69,0.95,0.75,0.86
Germany,2020-07-02,estimate,0.84,0.72,0.97,0.79,0.89
Germany,2020-07-03,estimate,0.86,0.75,0.99,0.81,0.91
Germany,2020-07-04,estimate,0.9,0.79,1.02,0.84,0.94
Germany,2020-07-05,estimate,0.93,0.83,1.04,0.89,0.98
Germany,2020-07-06,estimate,0.97,0.86,1.08,0.93,1.02
Germany,2020-07-07,estimate,1.01,0.9,1.13,0.96,1.05
Germany,2020-07-08,estimate,1.04,0.94,1.17,0.99,1.09
Germany,2020-07-09,estimate,1.08,0.97,1.21,1.01,1.11
Germany,2020-07-10,estimate,1.12,1.0,1.25,1.05,1.16
Germany,2020-07-11,estimate,1.15,1.03,1.29,1.09,1.2
Germany,2020-07-12,estimate,1.18,1.04,1.32,1.12,1.24
Germany,2020-07-13,estimate,1.21,1.05,1.35,1.14,1.27
Germany,2020-07-14,estimate,1.22,1.07,1.36,1.16,1.28
Germany,2020-07-15,estimate,1.23,1.07,1.37,1.18,1.3
