country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Germany,2020-07-20,estimate,1.14,1.14,0.03,1.14,1.15,1.13,1.16,1.1,1.18
Germany,2020-07-21,estimate,1.14,1.14,0.03,1.14,1.15,1.13,1.16,1.1,1.19
Germany,2020-07-22,estimate,1.14,1.14,0.03,1.14,1.15,1.13,1.16,1.1,1.18
Germany,2020-07-23,estimate,1.14,1.14,0.03,1.14,1.15,1.12,1.15,1.1,1.19
Germany,2020-07-24,estimate,1.14,1.14,0.03,1.13,1.14,1.12,1.15,1.1,1.19
Germany,2020-07-25,estimate,1.14,1.14,0.03,1.13,1.14,1.12,1.15,1.1,1.18
Germany,2020-07-26,estimate,1.14,1.14,0.03,1.12,1.14,1.12,1.15,1.1,1.18
Germany,2020-07-27,estimate,1.13,1.14,0.03,1.12,1.13,1.11,1.15,1.09,1.18
Germany,2020-07-28,estimate,1.13,1.13,0.03,1.13,1.14,1.11,1.15,1.09,1.18
Germany,2020-07-29,estimate,1.13,1.13,0.03,1.13,1.14,1.11,1.14,1.09,1.18
Germany,2020-07-30,estimate,1.13,1.13,0.03,1.12,1.13,1.11,1.14,1.09,1.17
Germany,2020-07-31,estimate,1.12,1.13,0.03,1.11,1.12,1.1,1.13,1.08,1.17
Germany,2020-08-01,estimate,1.12,1.12,0.03,1.11,1.12,1.1,1.13,1.08,1.16
Germany,2020-08-02,estimate,1.11,1.12,0.03,1.1,1.12,1.09,1.13,1.08,1.16
Germany,2020-08-03,estimate,1.11,1.11,0.03,1.1,1.11,1.09,1.12,1.07,1.16
Germany,2020-08-04,estimate,1.11,1.11,0.03,1.1,1.11,1.09,1.12,1.07,1.15
Germany,2020-08-05,estimate,1.1,1.1,0.03,1.1,1.11,1.08,1.11,1.06,1.14
Germany,2020-08-06,estimate,1.1,1.1,0.03,1.09,1.1,1.08,1.11,1.06,1.14
Germany,2020-08-07,estimate,1.09,1.09,0.03,1.09,1.1,1.07,1.1,1.05,1.13
Germany,2020-08-08,estimate,1.08,1.08,0.03,1.08,1.09,1.07,1.1,1.04,1.13
Germany,2020-08-09,estimate,1.08,1.08,0.03,1.07,1.08,1.06,1.09,1.04,1.12
Germany,2020-08-10,estimate,1.07,1.07,0.03,1.07,1.08,1.06,1.09,1.03,1.11
Germany,2020-08-11,estimate,1.07,1.07,0.03,1.07,1.08,1.05,1.09,1.02,1.11
Germany,2020-08-12,estimate,1.06,1.06,0.03,1.06,1.07,1.05,1.08,1.02,1.1
Germany,2020-08-13,estimate,1.06,1.05,0.03,1.05,1.07,1.04,1.08,1.01,1.09
Germany,2020-08-14,estimate,1.05,1.05,0.03,1.05,1.06,1.04,1.07,1.01,1.09
Germany,2020-08-15,estimate,1.05,1.04,0.03,1.04,1.05,1.03,1.07,1.0,1.08
Germany,2020-08-16,estimate,1.04,1.04,0.03,1.04,1.05,1.03,1.06,1.0,1.08
Germany,2020-08-17,estimate,1.04,1.04,0.03,1.03,1.05,1.02,1.06,0.99,1.08
Germany,2020-08-18,estimate,1.03,1.03,0.03,1.04,1.05,1.02,1.05,0.99,1.07
Germany,2020-08-19,estimate,1.03,1.03,0.03,1.03,1.04,1.02,1.05,0.98,1.07
Germany,2020-08-20,estimate,1.03,1.03,0.03,1.03,1.04,1.02,1.05,0.98,1.07
Germany,2020-08-21,estimate,1.03,1.02,0.03,1.03,1.04,1.01,1.05,0.98,1.07
Germany,2020-08-22,estimate,1.03,1.02,0.03,1.02,1.04,1.01,1.05,0.98,1.07
Germany,2020-08-23,estimate,1.03,1.02,0.03,1.02,1.04,1.01,1.05,0.98,1.07
Germany,2020-08-24,estimate,1.03,1.02,0.03,1.02,1.03,1.01,1.05,0.98,1.07
Germany,2020-08-25,estimate,1.03,1.02,0.03,1.02,1.03,1.01,1.05,0.98,1.07
Germany,2020-08-26,estimate,1.03,1.03,0.03,1.02,1.03,1.01,1.05,0.98,1.07
Germany,2020-08-27,estimate,1.03,1.03,0.03,1.02,1.03,1.02,1.05,0.98,1.07
Germany,2020-08-28,estimate,1.03,1.03,0.03,1.03,1.04,1.02,1.05,0.99,1.07
Germany,2020-08-29,estimate,1.03,1.03,0.03,1.03,1.04,1.02,1.05,0.99,1.08
Germany,2020-08-30,estimate,1.04,1.04,0.03,1.03,1.04,1.02,1.06,0.99,1.07
Germany,2020-08-31,estimate,1.04,1.04,0.02,1.03,1.05,1.03,1.06,1.0,1.08
Germany,2020-09-01,estimate,1.04,1.04,0.02,1.04,1.05,1.03,1.06,1.0,1.08
Germany,2020-09-02,estimate,1.05,1.05,0.02,1.04,1.06,1.03,1.06,1.01,1.09
Germany,2020-09-03,estimate,1.05,1.05,0.03,1.04,1.06,1.03,1.06,1.01,1.09
Germany,2020-09-04,estimate,1.05,1.06,0.03,1.05,1.06,1.04,1.07,1.01,1.1
Germany,2020-09-05,estimate,1.06,1.06,0.03,1.05,1.06,1.04,1.07,1.02,1.1
Germany,2020-09-06,estimate,1.06,1.06,0.03,1.05,1.06,1.04,1.07,1.02,1.1
Germany,2020-09-07,estimate,1.06,1.07,0.03,1.05,1.06,1.05,1.08,1.02,1.11
