country,date,type,median,lower_90,upper_90,lower_50,upper_50
Germany,2020-06-02,estimate,0.93,0.76,1.05,0.91,1.04
Germany,2020-06-03,estimate,0.94,0.8,1.07,0.92,1.04
Germany,2020-06-04,estimate,0.97,0.83,1.07,0.94,1.04
Germany,2020-06-05,estimate,0.99,0.86,1.07,0.97,1.04
Germany,2020-06-06,estimate,1.01,0.92,1.1,0.98,1.05
Germany,2020-06-07,estimate,1.04,0.96,1.14,1.0,1.07
Germany,2020-06-08,estimate,1.06,0.97,1.18,1.01,1.09
Germany,2020-06-09,estimate,1.09,0.97,1.23,1.02,1.13
Germany,2020-06-10,estimate,1.11,0.98,1.29,1.0,1.13
Germany,2020-06-11,estimate,1.13,0.98,1.32,1.0,1.15
Germany,2020-06-12,estimate,1.14,0.97,1.35,0.99,1.16
Germany,2020-06-13,estimate,1.15,0.97,1.36,0.99,1.16
Germany,2020-06-14,estimate,1.15,0.97,1.35,0.99,1.16
Germany,2020-06-15,estimate,1.13,0.98,1.35,1.0,1.16
Germany,2020-06-16,estimate,1.11,0.96,1.3,0.99,1.14
Germany,2020-06-17,estimate,1.09,0.95,1.26,1.0,1.12
Germany,2020-06-18,estimate,1.06,0.94,1.2,0.98,1.08
Germany,2020-06-19,estimate,1.03,0.92,1.15,0.96,1.05
Germany,2020-06-20,estimate,1.0,0.9,1.1,0.95,1.03
Germany,2020-06-21,estimate,0.97,0.87,1.06,0.93,1.01
Germany,2020-06-22,estimate,0.94,0.84,1.04,0.92,1.0
Germany,2020-06-23,estimate,0.92,0.8,1.02,0.88,0.97
Germany,2020-06-24,estimate,0.89,0.76,1.0,0.85,0.96
Germany,2020-06-25,estimate,0.87,0.73,0.99,0.83,0.96
Germany,2020-06-26,estimate,0.85,0.7,0.99,0.78,0.91
Germany,2020-06-27,estimate,0.84,0.69,0.99,0.76,0.9
Germany,2020-06-28,estimate,0.83,0.69,0.99,0.74,0.89
Germany,2020-06-29,estimate,0.83,0.69,0.99,0.75,0.89
Germany,2020-06-30,estimate,0.83,0.7,0.99,0.75,0.89
Germany,2020-07-01,estimate,0.84,0.71,0.99,0.76,0.9
Germany,2020-07-02,estimate,0.86,0.73,0.99,0.79,0.92
Germany,2020-07-03,estimate,0.88,0.77,1.01,0.82,0.94
Germany,2020-07-04,estimate,0.91,0.8,1.02,0.87,0.97
Germany,2020-07-05,estimate,0.94,0.83,1.04,0.9,0.98
Germany,2020-07-06,estimate,0.97,0.87,1.06,0.93,1.01
Germany,2020-07-07,estimate,1.0,0.91,1.11,0.96,1.04
Germany,2020-07-08,estimate,1.03,0.93,1.14,0.98,1.06
Germany,2020-07-09,estimate,1.06,0.96,1.19,1.01,1.1
Germany,2020-07-10,estimate,1.09,0.99,1.24,1.03,1.12
Germany,2020-07-11,estimate,1.12,1.01,1.27,1.04,1.15
Germany,2020-07-12,estimate,1.15,1.02,1.31,1.06,1.19
Germany,2020-07-13,estimate,1.17,1.03,1.33,1.08,1.21
Germany,2020-07-14,estimate,1.19,1.04,1.34,1.09,1.23
Germany,2020-07-15,estimate,1.2,1.05,1.35,1.15,1.28
Germany,2020-07-16,estimate,1.21,1.06,1.35,1.16,1.29
Germany,2020-07-17,estimate,1.21,1.06,1.34,1.15,1.28
Germany,2020-07-18,estimate,1.21,1.06,1.33,1.14,1.25
Germany,2020-07-19,estimate,1.2,1.06,1.32,1.14,1.25
Germany,2020-07-20,estimate,1.19,1.06,1.3,1.13,1.23
Germany,2020-07-21,estimate,1.17,1.06,1.29,1.13,1.23
Germany,2020-07-22,estimate,1.16,1.05,1.29,1.11,1.2
Germany,2020-07-23,estimate,1.15,1.04,1.28,1.1,1.19
Germany,2020-07-24,estimate,1.14,1.03,1.27,1.09,1.18
Germany,2020-07-25,estimate,1.13,1.02,1.25,1.08,1.17
Germany,2020-07-26,estimate,1.12,1.01,1.24,1.08,1.18
Germany,2020-07-27,estimate,1.12,0.99,1.22,1.06,1.15
Germany,2020-07-28,estimate,1.11,0.99,1.22,1.07,1.16
Germany,2020-07-29,estimate,1.1,0.99,1.23,1.06,1.15
Germany,2020-07-30,estimate based on partial data,1.1,0.98,1.23,1.05,1.15
Germany,2020-07-31,estimate based on partial data,1.1,0.97,1.23,1.05,1.15
Germany,2020-08-01,estimate based on partial data,1.1,0.96,1.24,1.03,1.14
Germany,2020-08-02,estimate based on partial data,1.1,0.95,1.26,1.05,1.17
Germany,2020-08-03,estimate based on partial data,1.1,0.93,1.27,1.04,1.17
Germany,2020-08-04,estimate based on partial data,1.11,0.91,1.32,1.02,1.17
Germany,2020-08-05,estimate based on partial data,1.11,0.87,1.34,1.04,1.2
Germany,2020-08-06,estimate based on partial data,1.11,0.84,1.38,1.02,1.21
Germany,2020-08-07,estimate based on partial data,1.11,0.79,1.4,1.01,1.21
Germany,2020-08-08,estimate based on partial data,1.11,0.75,1.46,0.99,1.22
Germany,2020-08-09,estimate based on partial data,1.11,0.69,1.48,0.98,1.23
Germany,2020-08-10,estimate based on partial data,1.11,0.63,1.49,0.98,1.26
Germany,2020-08-11,estimate based on partial data,1.1,0.57,1.51,0.94,1.24
Germany,2020-08-12,forecast,1.1,0.55,1.56,0.93,1.25
Germany,2020-08-13,forecast,1.1,0.49,1.57,0.92,1.27
Germany,2020-08-14,forecast,1.09,0.46,1.59,0.9,1.27
Germany,2020-08-15,forecast,1.09,0.41,1.59,0.88,1.29
Germany,2020-08-16,forecast,1.08,0.43,1.67,0.83,1.25
Germany,2020-08-17,forecast,1.07,0.41,1.72,0.84,1.28
Germany,2020-08-18,forecast,1.07,0.36,1.72,0.83,1.27
Germany,2020-08-19,forecast,1.07,0.36,1.78,0.81,1.28
Germany,2020-08-20,forecast,1.07,0.29,1.75,0.78,1.26
Germany,2020-08-21,forecast,1.06,0.27,1.76,0.79,1.28
Germany,2020-08-22,forecast,1.07,0.28,1.83,0.79,1.3
Germany,2020-08-23,forecast,1.07,0.25,1.86,0.81,1.33
Germany,2020-08-24,forecast,1.07,0.22,1.88,0.77,1.31
Germany,2020-08-25,forecast,1.07,0.22,1.92,0.81,1.36
