,data_version,target,date,location,type,quantile,value
7175,,14 day R,2021-01-25,DE,point,NA,0.804994040975788
7176,,14 day R,2021-01-26,DE,point,NA,0.8068457235489291
7177,,14 day R,2021-01-27,DE,point,NA,0.809092634302323
7178,,14 day R,2021-01-28,DE,point,NA,0.811816858171306
7179,,14 day R,2021-01-29,DE,point,NA,0.8145903699543491
7180,,14 day R,2021-01-30,DE,point,NA,0.817436716194307
7181,,14 day R,2021-01-31,DE,point,NA,0.820677929512746
7182,,14 day R,2021-02-01,DE,point,NA,0.824736903459421
7183,,14 day R,2021-02-02,DE,point,NA,0.828774611445084
7184,,14 day R,2021-02-03,DE,point,NA,0.833096852315712
7185,,14 day R,2021-02-04,DE,point,NA,0.8374544387960391
7186,,14 day R,2021-02-05,DE,point,NA,0.8419241168879742
7187,,14 day R,2021-02-06,DE,point,NA,0.846664092775367
7188,,14 day R,2021-02-07,DE,point,NA,0.8514199876489471
7189,,14 day R,2021-02-08,DE,point,NA,0.855904965684302
7190,,14 day R,2021-02-09,DE,point,NA,0.8605331482004829
7191,,14 day R,2021-02-10,DE,point,NA,0.864637264860477
7192,,14 day R,2021-02-11,DE,point,NA,0.8691613591157329
7193,,14 day R,2021-02-12,DE,point,NA,0.873162148495302
7194,,14 day R,2021-02-13,DE,point,NA,0.8763679024242971
7195,,14 day R,2021-02-14,DE,point,NA,0.880125437091011
7196,,14 day R,2021-02-15,DE,point,NA,0.883489084711946
7197,,14 day R,2021-02-16,DE,point,NA,0.8868251465368392
7198,,14 day R,2021-02-17,DE,point,NA,0.889367579592297
7199,,14 day R,2021-02-18,DE,point,NA,0.891982909036245
7200,,14 day R,2021-02-19,DE,point,NA,0.89457242516463
7201,,14 day R,2021-02-20,DE,point,NA,0.8968606464701859
7202,,14 day R,2021-02-21,DE,point,NA,0.899470580246638
7203,,14 day R,2021-02-22,DE,point,NA,0.901685024345537
7204,,14 day R,2021-02-23,DE,point,NA,0.904034653460951
7205,,14 day R,2021-02-24,DE,point,NA,0.9058087810423242
7206,,14 day R,2021-02-25,DE,point,NA,0.9082549507363091
7207,,14 day R,2021-02-26,DE,point,NA,0.909982681837154
7208,,14 day R,2021-02-27,DE,point,NA,0.9123734610305371
7209,,14 day R,2021-02-28,DE,point,NA,0.915562970306364
7210,,14 day R,2021-03-01,DE,point,NA,0.918440681070365
7211,,14 day R,2021-03-02,DE,point,NA,0.92173547478339
7212,,14 day R,2021-03-03,DE,point,NA,0.925405746947874
7213,,14 day R,2021-03-04,DE,point,NA,0.929461858208898
7214,,14 day R,2021-03-05,DE,point,NA,0.933729070052382
7215,,14 day R,2021-03-06,DE,point,NA,0.938333830619491
7216,,14 day R,2021-03-07,DE,point,NA,0.943581811756028
7217,,14 day R,2021-03-08,DE,point,NA,0.949576472526965
7218,,14 day R,2021-03-09,DE,point,NA,0.955417929813625
