Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;304;287;319;225;213;238;.;.;.;.;.;.
03.03.2020;320;305;338;261;247;275;.;.;.;.;.;.
04.03.2020;451;434;470;326;311;343;.;.;.;.;.;.
05.03.2020;503;483;525;394;377;413;.;.;.;.;.;.
06.03.2020;758;737;787;508;490;530;2,26;2,18;2,34;2,34;2,30;2,40
07.03.2020;983;957;1012;674;653;698;2,58;2,50;2,68;2,56;2,50;2,61
08.03.2020;1335;1303;1370;895;870;923;2,74;2,64;2,83;2,93;2,88;2,98
09.03.2020;2020;1985;2055;1274;1245;1306;3,23;3,14;3,32;3,13;3,07;3,17
10.03.2020;2569;2528;2607;1727;1693;1761;3,40;3,32;3,46;3,21;3,17;3,26
11.03.2020;3236;3182;3285;2290;2249;2329;3,40;3,33;3,46;3,12;3,08;3,16
12.03.2020;3607;3551;3655;2858;2811;2900;3,19;3,14;3,25;2,84;2,82;2,87
13.03.2020;4364;4308;4417;3444;3392;3491;2,70;2,67;2,74;2,50;2,48;2,52
14.03.2020;4434;4371;4487;3910;3853;3961;2,26;2,24;2,29;2,18;2,17;2,20
15.03.2020;4680;4625;4735;4271;4213;4323;1,87;1,84;1,89;1,99;1,98;2,01
16.03.2020;6023;5966;6095;4875;4817;4933;1,71;1,69;1,72;1,74;1,73;1,75
17.03.2020;5233;5172;5304;5093;5033;5155;1,48;1,46;1,50;1,56;1,55;1,57
18.03.2020;5287;5229;5347;5306;5248;5370;1,36;1,35;1,37;1,39;1,39;1,40
19.03.2020;4727;4673;4788;5317;5260;5383;1,24;1,23;1,26;1,24;1,23;1,24
20.03.2020;5335;5273;5402;5145;5086;5210;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4440;4390;4491;4947;4891;5007;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3811;3748;3874;4578;4521;4639;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5155;5090;5215;4685;4625;4746;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4070;4011;4125;4369;4309;4426;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4423;4361;4488;4365;4302;4425;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;4001;3951;4057;4412;4353;4471;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4126;4066;4180;4155;4097;4212;0,89;0,88;0,89;0,90;0,89;0,90
28.03.2020;3885;3832;3941;4109;4052;4166;0,94;0,93;0,95;0,91;0,90;0,91
29.03.2020;3266;3213;3318;3820;3765;3874;0,88;0,87;0,88;0,90;0,90;0,91
30.03.2020;4395;4339;4464;3918;3862;3976;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3586;3518;3653;3783;3725;3844;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4044;3994;4103;3823;3766;3884;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3728;3664;3802;3938;3879;4005;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3728;3659;3789;3772;3709;3836;0,96;0,95;0,97;0,93;0,92;0,94
04.04.2020;3006;2950;3067;3627;3567;3690;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2696;2645;2748;3290;3229;3351;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3347;3290;3407;3194;3136;3253;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3045;2990;3094;3024;2969;3079;0,80;0,79;0,81;0,87;0,86;0,88
08.04.2020;2873;2825;2926;2990;2937;3044;0,82;0,81;0,84;0,85;0,84;0,86
09.04.2020;2696;2644;2750;2990;2937;3044;0,91;0,90;0,92;0,83;0,82;0,83
10.04.2020;2319;2263;2375;2733;2680;2786;0,86;0,85;0,87;0,80;0,80;0,81
11.04.2020;2010;1957;2061;2474;2422;2528;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1950;1898;1998;2244;2190;2296;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1890;1844;1941;2042;1990;2094;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1943;1888;1990;1948;1897;1997;0,71;0,70;0,73;0,78;0,77;0,78
15.04.2020;1931;1888;1981;1929;1879;1977;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1753;1706;1801;1879;1831;1928;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1649;1604;1693;1819;1771;1866;0,89;0,87;0,90;0,80;0,79;0,81
