Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;305;289;321;226;213;239;.;.;.;.;.;.
03.03.2020;319;303;337;261;247;276;.;.;.;.;.;.
04.03.2020;449;432;468;326;310;342;.;.;.;.;.;.
05.03.2020;503;484;524;394;377;412;.;.;.;.;.;.
06.03.2020;761;737;789;508;489;529;2,25;2,17;2,34;2,34;2,30;2,39
07.03.2020;984;950;1012;674;650;698;2,58;2,49;2,68;2,56;2,52;2,61
08.03.2020;1334;1300;1370;895;867;924;2,75;2,67;2,83;2,93;2,88;2,99
09.03.2020;2022;1990;2060;1275;1244;1308;3,24;3,16;3,31;3,13;3,08;3,18
10.03.2020;2569;2526;2620;1727;1691;1765;3,40;3,33;3,48;3,21;3,17;3,26
11.03.2020;3240;3184;3284;2291;2250;2333;3,40;3,33;3,47;3,12;3,08;3,16
12.03.2020;3606;3556;3663;2859;2814;2907;3,19;3,14;3,25;2,84;2,81;2,87
13.03.2020;4361;4305;4411;3444;3393;3494;2,70;2,66;2,74;2,50;2,48;2,52
14.03.2020;4433;4379;4494;3910;3856;3963;2,26;2,24;2,29;2,18;2,17;2,20
15.03.2020;4678;4614;4742;4269;4213;4327;1,86;1,84;1,89;1,99;1,98;2,00
16.03.2020;6019;5958;6080;4873;4814;4932;1,70;1,69;1,72;1,74;1,73;1,75
17.03.2020;5231;5160;5296;5090;5028;5153;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5293;5238;5357;5305;5242;5369;1,36;1,34;1,37;1,39;1,39;1,40
19.03.2020;4727;4675;4790;5317;5258;5381;1,25;1,23;1,26;1,24;1,23;1,24
20.03.2020;5328;5264;5394;5145;5084;5209;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4445;4386;4499;4948;4891;5010;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3812;3751;3871;4578;4519;4639;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5154;5097;5222;4685;4624;4747;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4071;4014;4143;4370;4312;4434;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4422;4365;4492;4365;4306;4432;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;3995;3940;4058;4410;4354;4479;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4124;4071;4187;4153;4097;4220;0,89;0,88;0,90;0,90;0,89;0,90
28.03.2020;3888;3831;3941;4107;4051;4169;0,94;0,93;0,95;0,90;0,90;0,91
29.03.2020;3261;3194;3323;3817;3759;3877;0,87;0,87;0,88;0,90;0,90;0,91
30.03.2020;4395;4334;4461;3917;3857;3978;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3581;3518;3639;3781;3719;3841;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4039;3980;4095;3819;3756;3879;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3728;3679;3785;3936;3877;3995;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3725;3668;3792;3768;3711;3828;0,96;0,95;0,97;0,93;0,92;0,94
04.04.2020;3007;2953;3062;3625;3570;3683;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2699;2647;2755;3290;3237;3348;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3350;3297;3410;3195;3141;3255;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3053;2991;3113;3027;2972;3085;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2872;2820;2934;2994;2939;3053;0,83;0,82;0,84;0,85;0,84;0,86
09.04.2020;2690;2631;2748;2992;2935;3051;0,91;0,90;0,92;0,83;0,82;0,83
10.04.2020;2320;2261;2379;2734;2676;2793;0,86;0,84;0,87;0,80;0,80;0,81
11.04.2020;2010;1957;2055;2473;2417;2529;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1951;1897;2006;2243;2187;2297;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1888;1837;1939;2042;1988;2094;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1943;1892;1995;1948;1896;1999;0,71;0,70;0,73;0,78;0,77;0,78
15.04.2020;1935;1885;1986;1929;1878;1981;0,78;0,77;0,79;0,76;0,75;0,76
16.04.2020;1749;1702;1806;1879;1829;1931;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1649;1602;1703;1819;1770;1872;0,89;0,87;0,91;0,80;0,79;0,81
18.04.2020;1432;1386;1480;1691;1644;1744;0,87;0,85;0,88;0,81;0,80;0,82
19.04.2020;1309;1266;1353;1535;1489;1585;0,80;0,78;0,81;0,84;0,83;0,85
20.04.2020;1579;1539;1621;1492;1448;1539;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1350;1306;1393;1417;1374;1462;0,78;0,76;0,79;0,83;0,82;0,83
22.04.2020;1296;1256;1341;1384;1342;1427;0,82;0,80;0,83;0,83;0,82;0,84
23.04.2020;1270;1232;1317;1374;1333;1418;0,90;0,88;0,91;0,81;0,80;0,82
24.04.2020;1145;1108;1185;1265;1225;1309;0,85;0,83;0,87;0,81;0,80;0,82
25.04.2020;1004;962;1041;1179;1139;1221;0,83;0,81;0,85;0,82;0,82;0,83
26.04.2020;904;872;940;1081;1043;1121;0,78;0,76;0,80;0,82;0,81;0,83
27.04.2020;1102;1067;1134;1039;1002;1075;0,76;0,74;0,77;0,82;0,81;0,83
28.04.2020;946;907;987;989;952;1025;0,78;0,76;0,80;0,81;0,80;0,82
29.04.2020;862;829;894;953;919;988;0,81;0,79;0,83;0,81;0,80;0,82
30.04.2020;936;902;978;961;926;998;0,89;0,87;0,91;0,81;0,80;0,83
01.05.2020;816;782;848;890;855;926;0,86;0,83;0,88;0,82;0,81;0,83
02.05.2020;741;711;776;838;806;874;0,85;0,82;0,87;0,85;0,84;0,86
03.05.2020;755;722;793;812;779;848;0,85;0,83;0,87;0,86;0,85;0,87
04.05.2020;891;855;926;801;767;836;0,83;0,81;0,85;0,89;0,87;0,90
05.05.2020;817;782;856;801;767;838;0,90;0,87;0,93;0,90;0,89;0,92
06.05.2020;741;705;775;801;766;837;0,96;0,93;0,99;0,89;0,87;0,90
07.05.2020;703;669;733;788;753;822;0,97;0,94;1,00;0,90;0,88;0,91
08.05.2020;679;645;715;735;700;769;0,92;0,89;0,95;0,89;0,88;0,90
09.05.2020;583;556;613;676;644;709;0,84;0,82;0,87;0,87;0,86;0,89
10.05.2020;555;525;584;630;599;661;0,79;0,76;0,82;0,87;0,85;0,88
11.05.2020;666;636;696;621;590;652;0,79;0,76;0,82;0,85;0,84;0,87
12.05.2020;621;588;656;606;576;637;0,82;0,80;0,85;0,85;0,84;0,87
13.05.2020;586;551;617;607;575;638;0,90;0,87;0,92;0,85;0,83;0,86
14.05.2020;524;494;554;599;567;630;0,95;0,92;0,99;0,89;0,87;0,90
15.05.2020;678;649;709;602;571;634;0,97;0,93;1,01;0,92;0,91;0,94
16.05.2020;559;531;590;587;556;617;0,97;0,94;1,00;0,93;0,91;0,95
17.05.2020;443;415;467;551;522;580;0,91;0,88;0,94;0,96;0,94;0,97
18.05.2020;615;581;649;574;544;604;0,96;0,92;0,99;0,92;0,90;0,94
19.05.2020;469;438;497;521;491;551;0,87;0,83;0,90;0,92;0,90;0,94
20.05.2020;566;536;597;523;492;552;0,89;0,86;0,92;0,91;0,89;0,93
21.05.2020;390;362;419;510;479;540;0,93;0,88;0,95;0,85;0,83;0,87
22.05.2020;386;357;410;453;423;481;0,79;0,76;0,82;0,83;0,82;0,85
23.05.2020;366;341;387;427;399;453;0,82;0,78;0,86;0,82;0,80;0,84
24.05.2020;370;346;395;378;351;403;0,72;0,69;0,76;0,81;0,79;0,82
25.05.2020;465;438;491;397;370;421;0,78;0,75;0,82;0,87;0,85;0,89
26.05.2020;434;407;459;409;383;433;0,90;0,86;0,94;0,89;0,87;0,90
27.05.2020;454;428;482;431;405;457;1,01;0,97;1,05;0,90;0,88;0,92
28.05.2020;379;358;403;433;408;458;1,15;1,09;1,21;0,93;0,91;0,96
29.05.2020;346;325;377;403;379;430;1,02;0,97;1,06;0,92;0,90;0,94
30.05.2020;290;268;310;367;345;393;0,90;0,86;0,94;0,92;0,90;0,94
