Datum;Schätzer_Neuerkrankungen;UG_PI_Neuerkrankungen;OG_PI_Neuerkrankungen;Schätzer_Neuerkrankungen_ma4;UG_PI_Neuerkrankungen_ma4;OG_PI_Neuerkrankungen_ma4;Schätzer_Reproduktionszahl_R;UG_PI_Reproduktionszahl_R;OG_PI_Reproduktionszahl_R;Schätzer_7_Tage_R_Wert;UG_PI_7_Tage_R_Wert;OG_PI_7_Tage_R_Wert
02.03.2020;305;291;320;226;213;240;.;.;.;.;.;.
03.03.2020;321;304;339;262;247;278;.;.;.;.;.;.
04.03.2020;449;432;468;326;311;343;.;.;.;.;.;.
05.03.2020;503;483;525;394;377;413;.;.;.;.;.;.
06.03.2020;761;737;784;508;489;529;2,25;2,17;2,33;2,34;2,29;2,39
07.03.2020;984;959;1010;674;653;697;2,58;2,50;2,66;2,56;2,52;2,60
08.03.2020;1334;1306;1362;895;871;920;2,74;2,67;2,83;2,93;2,88;2,98
09.03.2020;2019;1982;2053;1274;1246;1302;3,23;3,16;3,31;3,12;3,08;3,18
10.03.2020;2569;2528;2611;1726;1694;1759;3,40;3,32;3,48;3,21;3,16;3,25
11.03.2020;3239;3190;3282;2290;2251;2327;3,40;3,34;3,46;3,12;3,08;3,15
12.03.2020;3607;3550;3654;2858;2812;2900;3,19;3,14;3,24;2,84;2,81;2,87
13.03.2020;4357;4301;4401;3443;3392;3487;2,70;2,67;2,74;2,50;2,48;2,52
14.03.2020;4435;4375;4488;3909;3854;3956;2,26;2,24;2,29;2,18;2,17;2,20
15.03.2020;4679;4619;4742;4270;4211;4321;1,86;1,85;1,89;1,99;1,98;2,00
16.03.2020;6021;5954;6077;4873;4812;4927;1,70;1,69;1,73;1,74;1,73;1,75
17.03.2020;5233;5170;5287;5092;5029;5148;1,48;1,46;1,49;1,56;1,55;1,57
18.03.2020;5293;5241;5352;5306;5246;5364;1,36;1,35;1,37;1,40;1,39;1,40
19.03.2020;4728;4666;4795;5319;5257;5378;1,25;1,24;1,26;1,24;1,23;1,24
20.03.2020;5327;5263;5389;5145;5085;5206;1,06;1,05;1,06;1,13;1,13;1,14
21.03.2020;4440;4374;4497;4947;4886;5008;0,97;0,96;0,98;1,04;1,03;1,04
22.03.2020;3811;3760;3867;4577;4516;4637;0,86;0,86;0,87;0,98;0,97;0,98
23.03.2020;5155;5100;5215;4683;4624;4742;0,88;0,87;0,89;0,92;0,91;0,92
24.03.2020;4069;4007;4130;4369;4310;4427;0,85;0,84;0,86;0,89;0,89;0,90
25.03.2020;4421;4361;4479;4364;4307;4422;0,88;0,87;0,89;0,90;0,89;0,90
26.03.2020;3997;3945;4058;4411;4353;4470;0,96;0,95;0,97;0,88;0,88;0,89
27.03.2020;4126;4076;4178;4153;4097;4211;0,89;0,88;0,90;0,90;0,89;0,90
28.03.2020;3887;3834;3943;4108;4054;4164;0,94;0,93;0,95;0,91;0,90;0,91
29.03.2020;3263;3203;3317;3819;3764;3874;0,88;0,87;0,88;0,90;0,90;0,91
30.03.2020;4395;4332;4466;3918;3861;3976;0,89;0,88;0,90;0,92;0,92;0,93
31.03.2020;3578;3521;3651;3781;3722;3844;0,91;0,90;0,92;0,93;0,92;0,93
01.04.2020;4041;3984;4095;3819;3760;3882;0,93;0,92;0,94;0,93;0,93;0,94
02.04.2020;3728;3673;3780;3936;3877;3998;1,03;1,02;1,04;0,95;0,94;0,95
03.04.2020;3726;3667;3791;3768;3711;3829;0,96;0,95;0,97;0,93;0,93;0,94
04.04.2020;3009;2946;3060;3626;3568;3681;0,96;0,95;0,97;0,92;0,92;0,93
05.04.2020;2698;2648;2761;3290;3234;3348;0,86;0,85;0,87;0,89;0,89;0,90
06.04.2020;3349;3293;3403;3196;3139;3253;0,81;0,80;0,82;0,89;0,88;0,89
07.04.2020;3057;2997;3114;3028;2971;3084;0,80;0,79;0,81;0,87;0,87;0,88
08.04.2020;2873;2817;2932;2994;2939;3052;0,83;0,82;0,84;0,85;0,84;0,86
09.04.2020;2693;2632;2754;2993;2935;3051;0,91;0,90;0,92;0,83;0,82;0,84
10.04.2020;2316;2269;2373;2735;2678;2793;0,86;0,85;0,87;0,80;0,80;0,81
11.04.2020;2014;1965;2062;2474;2420;2530;0,82;0,81;0,83;0,81;0,81;0,82
12.04.2020;1950;1898;1995;2243;2191;2296;0,75;0,74;0,76;0,78;0,78;0,79
13.04.2020;1891;1846;1941;2043;1994;2093;0,68;0,67;0,69;0,78;0,78;0,79
14.04.2020;1941;1892;1990;1949;1900;1997;0,71;0,70;0,72;0,78;0,77;0,78
15.04.2020;1930;1875;1984;1928;1878;1977;0,78;0,76;0,79;0,76;0,75;0,76
16.04.2020;1750;1708;1796;1878;1830;1928;0,84;0,82;0,85;0,78;0,77;0,79
17.04.2020;1647;1606;1686;1817;1770;1864;0,89;0,87;0,90;0,80;0,79;0,81
18.04.2020;1435;1388;1475;1690;1644;1735;0,87;0,85;0,88;0,81;0,80;0,82
19.04.2020;1308;1256;1355;1535;1489;1578;0,80;0,78;0,81;0,84;0,83;0,85
20.04.2020;1575;1526;1619;1491;1444;1533;0,79;0,78;0,81;0,84;0,83;0,85
21.04.2020;1351;1306;1395;1417;1369;1461;0,78;0,77;0,80;0,83;0,82;0,83
22.04.2020;1299;1261;1342;1383;1337;1427;0,82;0,80;0,83;0,83;0,82;0,84
23.04.2020;1267;1231;1312;1373;1331;1417;0,89;0,88;0,91;0,81;0,80;0,82
24.04.2020;1145;1104;1188;1265;1225;1309;0,85;0,83;0,86;0,81;0,80;0,82
25.04.2020;1006;971;1042;1179;1142;1221;0,83;0,81;0,85;0,82;0,81;0,83
26.04.2020;903;868;950;1080;1043;1123;0,78;0,77;0,80;0,82;0,81;0,83
27.04.2020;1100;1062;1138;1038;1001;1079;0,76;0,74;0,77;0,82;0,81;0,83
28.04.2020;945;909;980;988;952;1027;0,78;0,76;0,80;0,81;0,80;0,82
29.04.2020;864;829;898;953;917;991;0,81;0,79;0,83;0,81;0,80;0,82
30.04.2020;936;900;972;961;925;997;0,89;0,87;0,92;0,81;0,80;0,82
01.05.2020;816;777;852;890;854;926;0,86;0,83;0,88;0,82;0,81;0,83
02.05.2020;741;708;773;839;803;874;0,85;0,83;0,87;0,85;0,84;0,86
03.05.2020;754;725;783;812;777;845;0,85;0,82;0,88;0,86;0,85;0,87
04.05.2020;889;856;925;800;766;833;0,83;0,81;0,85;0,89;0,87;0,90
05.05.2020;816;783;853;800;768;833;0,90;0,87;0,92;0,90;0,89;0,92
06.05.2020;742;703;775;800;767;834;0,95;0,93;0,98;0,89;0,87;0,90
07.05.2020;705;671;737;788;753;822;0,97;0,94;1,00;0,90;0,88;0,91
08.05.2020;678;642;713;735;700;769;0,92;0,89;0,95;0,89;0,88;0,90
09.05.2020;583;551;612;677;641;709;0,85;0,82;0,88;0,87;0,86;0,89
10.05.2020;556;528;584;630;598;661;0,79;0,76;0,81;0,87;0,85;0,88
11.05.2020;667;639;698;621;590;652;0,79;0,76;0,82;0,85;0,84;0,87
12.05.2020;620;592;653;606;577;637;0,83;0,80;0,85;0,85;0,84;0,87
13.05.2020;587;556;619;607;579;638;0,90;0,87;0,93;0,85;0,83;0,86
14.05.2020;526;495;559;600;570;632;0,95;0,92;0,99;0,89;0,87;0,91
15.05.2020;678;645;712;603;572;636;0,97;0,93;1,00;0,92;0,90;0,94
