country,date,R_low,R_mean,R_high,observed
Austria,2020-04-13,0.523332242309553,0.578325685565848,0.636027078212559,Observed
Austria,2020-04-14,0.532094797100853,0.590676854848871,0.652274173799359,Observed
Austria,2020-04-15,0.548400636138078,0.611229636239723,0.677416850660094,Observed
Austria,2020-04-16,0.571359497673066,0.639020618655368,0.710413234551867,Observed
Austria,2020-04-17,0.59926800943007,0.672187280318852,0.74923252230464,Observed
Austria,2020-04-18,0.629555276580512,0.707912635084322,0.790799316695522,Observed
Austria,2020-04-19,0.658950029518765,0.742615695114754,0.831209143325565,Observed
Austria,2020-04-20,0.683659442821782,0.772163153344102,0.865975691120823,Observed
Austria,2020-04-21,0.70012370266578,0.792694087825667,0.890928651904014,Observed
Austria,2020-04-22,0.706413403515649,0.802125095384798,0.903829067486408,Observed
Austria,2020-04-23,0.703007270383715,0.80099014825924,0.905272365904133,Observed
Austria,2020-04-24,0.692777231677184,0.792425432792323,0.898671789924006,Observed
Austria,2020-04-25,0.679944177051314,0.781044727374974,0.889050230459527,Observed
Austria,2020-04-26,0.668676339120675,0.771420792859578,0.88140058381809,Observed
Austria,2020-04-27,0.662597412075082,0.767534803002863,0.880072845812564,Observed
Austria,2020-04-28,0.664672842554092,0.772634833973735,0.888602308537208,Observed
Austria,2020-04-29,0.677020011924481,0.789012714398597,0.909451458568059,Observed
Austria,2020-04-30,0.700731164743653,0.817791420562725,0.943760641940543,Observed
Austria,2020-05-01,0.735542113476599,0.858549856144752,0.990928523907311,Observed
Austria,2020-05-02,0.779176579580602,0.908614759453172,1.047852998155,Observed
Austria,2020-05-03,0.827673372152108,0.963446413314189,1.10937982962812,Observed
Austria,2020-05-04,0.875963581203406,1.01732699370099,1.16910985416945,Observed
Austria,2020-05-05,0.91821264719612,1.0638052344981,1.21995477980473,Observed
Austria,2020-05-06,0.949128726460917,1.09715974979468,1.25576109712184,Observed
Austria,2020-05-07,0.965150022854115,1.11368514062232,1.27269573265172,Observed
Austria,2020-05-08,0.96506673394066,1.11232147541081,1.26987883136028,Observed
Austria,2020-05-09,0.950105848773373,1.09467810647371,1.24933931940117,Observed
Austria,2020-05-10,0.923177305261057,1.06415939398779,1.21501299833211,Observed
Austria,2020-05-11,0.887922452002553,1.02490146696566,1.17156261564246,Observed
Austria,2020-05-12,0.848263921340575,0.981275487698862,1.12383241942147,Observed
Austria,2020-05-13,0.808116033533821,0.937585824454851,1.07653426303314,Observed
Austria,2020-05-14,0.770872802708391,0.897537421183438,1.0336953367405,Observed
Austria,2020-05-15,0.739085330698362,0.863902027872818,0.998314026214616,Observed
Austria,2020-05-16,0.714292080709573,0.83834064641552,0.972174979298112,Observed
Austria,2020-05-17,0.696910050263349,0.82128385400947,0.955718832396655,Observed
Austria,2020-05-18,0.686573822993976,0.812294063971306,0.94842795493854,Observed
Austria,2020-05-19,0.682311111973243,0.810254112364606,0.949028707828824,Observed
Austria,2020-05-20,0.682553234695265,0.81337924882495,0.955505939116453,Observed
Austria,2020-05-21,0.685725368700366,0.819865808164414,0.96581149386824,Observed
Austria,2020-05-22,0.691006446360623,0.82873520360352,0.978794301508507,Observed
Austria,2020-05-23,0.698615414191197,0.840162879874929,0.994573680546471,Observed
Austria,2020-05-24,0.709883452480533,0.855562205519032,1.01463475809737,Observed
Austria,2020-05-25,0.726232749369544,0.876451228448682,1.04058086692175,Observed
Austria,2020-05-26,0.747982679629163,0.903113795560123,1.07264599088372,Observed
Austria,2020-05-27,0.774215604025375,0.934433034819134,1.10949382326015,Observed
Austria,2020-05-28,0.802687237203099,0.967803883391887,1.1481344751796,Observed
Austria,2020-05-29,0.829852885182136,0.999199358621183,1.18403631606104,Observed
Austria,2020-05-30,0.851590133961483,1.02401202280247,1.21209306300874,Observed
Austria,2020-05-31,0.864170301632491,1.03815856538699,1.22786739343339,Observed
