"country","date","R_low","R_mean","R_high","observed"
"Afghanistan",2020-03-24,1.37534434791824,1.70910541853582,2.07857889326186,"Observed"
"Afghanistan",2020-03-25,1.33075451139698,1.6381496905355,1.97700784962596,"Observed"
"Afghanistan",2020-03-26,1.27979557995319,1.56340416858265,1.87497281648886,"Observed"
"Afghanistan",2020-03-27,1.22527645181297,1.48769513167726,1.77519673552407,"Observed"
"Afghanistan",2020-03-28,1.17198662631951,1.4160175773895,1.68278390700434,"Observed"
"Afghanistan",2020-03-29,1.12596490376663,1.35468610696291,1.60424153720934,"Observed"
"Afghanistan",2020-03-30,1.09236387434227,1.3089757747254,1.54488946028126,"Observed"
"Afghanistan",2020-03-31,1.07356704064293,1.28106652955668,1.50662748022249,"Observed"
"Afghanistan",2020-04-01,1.06895389799756,1.2698165054534,1.48771664113197,"Observed"
"Afghanistan",2020-04-02,1.07540449419411,1.27136630920987,1.48348736018957,"Observed"
"Afghanistan",2020-04-03,1.08829110182065,1.28028443135835,1.48764467983941,"Observed"
"Afghanistan",2020-04-04,1.10270374550921,1.29095494658601,1.49382356395424,"Observed"
"Afghanistan",2020-04-05,1.11367149679906,1.29784816875353,1.49591142898288,"Observed"
"Afghanistan",2020-04-06,1.1169801208261,1.29640396095626,1.48899569818868,"Observed"
"Afghanistan",2020-04-07,1.11082690282839,1.28478211159987,1.47120578620037,"Observed"
"Afghanistan",2020-04-08,1.09643524994508,1.2644630782259,1.44429455263548,"Observed"
"Afghanistan",2020-04-09,1.07811346425949,1.24024079103453,1.41355848669803,"Observed"
"Afghanistan",2020-04-10,1.06199890892828,1.21881374807466,1.38626949215916,"Observed"
"Afghanistan",2020-04-11,1.05390955155847,1.20644271978669,1.36913433870297,"Observed"
"Afghanistan",2020-04-12,1.05815533942691,1.20766276213285,1.36690558784278,"Observed"
"Afghanistan",2020-04-13,1.07681177962771,1.22451453671861,1.38157194170123,"Observed"
"Afghanistan",2020-04-14,1.10954255512713,1.25638550494267,1.41222146325611,"Observed"
"Afghanistan",2020-04-15,1.15415813840707,1.3006550086865,1.45577786027837,"Observed"
"Afghanistan",2020-04-16,1.20675147881366,1.35290076064215,1.50728292906552,"Observed"
"Afghanistan",2020-04-17,1.26171674150413,1.40698533304969,1.56005498613866,"Observed"
"Afghanistan",2020-04-18,1.31266041460777,1.45607656050217,1.6068209145151,"Observed"
"Afghanistan",2020-04-19,1.35386712927525,1.49421888689771,1.64139312406142,"Observed"
"Afghanistan",2020-04-20,1.38212445535135,1.51822973882689,1.66063498704619,"Observed"
"Afghanistan",2020-04-21,1.39722497124334,1.52815823522264,1.66487164846866,"Observed"
"Afghanistan",2020-04-22,1.40024877201748,1.52540840544102,1.65584899289146,"Observed"
"Afghanistan",2020-04-23,1.39201636307851,1.51107176337564,1.63494257295674,"Observed"
"Afghanistan",2020-04-24,1.37340057468386,1.48623716792523,1.6034648717805,"Observed"
"Afghanistan",2020-04-25,1.34670082546417,1.45342301792546,1.56415673848698,"Observed"
"Afghanistan",2020-04-26,1.31611122565114,1.41706350515531,1.52169314366693,"Observed"
"Afghanistan",2020-04-27,1.28634932477632,1.38208119531083,1.48120012613891,"Observed"
"Afghanistan",2020-04-28,1.26048676071804,1.35163972883824,1.4459296531227,"Observed"
"Afghanistan",2020-04-29,1.23933550268837,1.32652295377756,1.41663208150435,"Observed"
"Afghanistan",2020-04-30,1.22257256987858,1.30632175390644,1.39280610399706,"Observed"
"Afghanistan",2020-05-01,1.21003170737078,1.29078904822606,1.37411815462997,"Observed"
"Afghanistan",2020-05-02,1.20188312290406,1.28003408250174,1.36061181002908,"Observed"
"Afghanistan",2020-05-03,1.19783247193034,1.27369563307791,1.35185515672446,"Observed"
"Afghanistan",2020-05-04,1.19670689534485,1.2705142957803,1.34649907164245,"Observed"
"Afghanistan",2020-05-05,1.19727464561994,1.26917962849964,1.34315181941392,"Observed"
"Afghanistan",2020-05-06,1.19913642757607,1.26925030661049,1.34132814262806,"Observed"
"Afghanistan",2020-05-07,1.20299893020515,1.27143296443085,1.34173339572167,"Observed"
"Afghanistan",2020-05-08,1.20992381903575,1.27680246286746,1.34545480770044,"Observed"
"Afghanistan",2020-05-09,1.22011428683346,1.28554857864113,1.3526679484762,"Observed"
"Afghanistan",2020-05-10,1.23275895144065,1.29681594237286,1.36247254985814,"Observed"
"Afghanistan",2020-05-11,1.24638662196475,1.30907438123378,1.37327858078802,"Observed"
"Afghanistan",2020-05-12,1.25901890293938,1.32028343572503,1.38298294240584,"Observed"
"Afghanistan",2020-05-13,1.26801429123831,1.32773897688981,1.38881876296114,"Observed"
"Afghanistan",2020-05-14,1.27036299548158,1.32837874869861,1.38767169115979,"Observed"
"Afghanistan",2020-05-15,1.26386219354776,1.31998438933265,1.37730865203388,"Observed"
"Afghanistan",2020-05-16,1.24816701310341,1.30224975609031,1.3574634194616,"Observed"
"Afghanistan",2020-05-17,1.2250772363782,1.27706259616219,1.33011302095455,"Observed"
"Afghanistan",2020-05-18,1.19781105929914,1.24775051794754,1.29869559806147,"Observed"
"Afghanistan",2020-05-19,1.16965723141093,1.21769656190247,1.26668913297905,"Observed"
"Afghanistan",2020-05-20,1.14321910706887,1.18956547112529,1.23681982731836,"Observed"
"Afghanistan",2020-05-21,1.12031490132192,1.16520485872427,1.2109642544537,"Observed"
"Afghanistan",2020-05-22,1.10188941937072,1.14556047652144,1.19006833579025,"Observed"
"Afghanistan",2020-05-23,1.08795955391305,1.13062580701708,1.1741011900456,"Observed"
