data_version,target,location,date,quantile,type,value
2020-10-05,WV R,DE,2020-02-01,NA,point,
2020-10-05,WV R,DE,2020-02-02,NA,point,
2020-10-05,WV R,DE,2020-02-03,NA,point,
2020-10-05,WV R,DE,2020-02-04,NA,point,
2020-10-05,WV R,DE,2020-02-05,NA,point,
2020-10-05,WV R,DE,2020-02-06,NA,point,
2020-10-05,WV R,DE,2020-02-07,NA,point,
2020-10-05,WV R,DE,2020-02-08,NA,point,0.72
2020-10-05,WV R,DE,2020-02-09,NA,point,0.88
2020-10-05,WV R,DE,2020-02-10,NA,point,0.92
2020-10-05,WV R,DE,2020-02-11,NA,point,0.98
2020-10-05,WV R,DE,2020-02-12,NA,point,
2020-10-05,WV R,DE,2020-02-13,NA,point,
2020-10-05,WV R,DE,2020-02-14,NA,point,
2020-10-05,WV R,DE,2020-02-15,NA,point,
2020-10-05,WV R,DE,2020-02-16,NA,point,
2020-10-05,WV R,DE,2020-02-17,NA,point,2.16
2020-10-05,WV R,DE,2020-02-18,NA,point,2.08
2020-10-05,WV R,DE,2020-02-19,NA,point,2.18
2020-10-05,WV R,DE,2020-02-20,NA,point,2.16
2020-10-05,WV R,DE,2020-02-21,NA,point,1.9
2020-10-05,WV R,DE,2020-02-22,NA,point,2.19
2020-10-05,WV R,DE,2020-02-23,NA,point,2.52
2020-10-05,WV R,DE,2020-02-24,NA,point,2.78
2020-10-05,WV R,DE,2020-02-25,NA,point,3.31
2020-10-05,WV R,DE,2020-02-26,NA,point,3.2
2020-10-05,WV R,DE,2020-02-27,NA,point,3.48
2020-10-05,WV R,DE,2020-02-28,NA,point,3.59
2020-10-05,WV R,DE,2020-02-29,NA,point,3.29
2020-10-05,WV R,DE,2020-03-01,NA,point,3.03
2020-10-05,WV R,DE,2020-03-02,NA,point,2.64
2020-10-05,WV R,DE,2020-03-03,NA,point,2.28
2020-10-05,WV R,DE,2020-03-04,NA,point,2.12
2020-10-05,WV R,DE,2020-03-05,NA,point,2.0
2020-10-05,WV R,DE,2020-03-06,NA,point,2.01
2020-10-05,WV R,DE,2020-03-07,NA,point,2.08
2020-10-05,WV R,DE,2020-03-08,NA,point,2.21
2020-10-05,WV R,DE,2020-03-09,NA,point,2.41
2020-10-05,WV R,DE,2020-03-10,NA,point,2.6
2020-10-05,WV R,DE,2020-03-11,NA,point,2.74
2020-10-05,WV R,DE,2020-03-12,NA,point,2.79
2020-10-05,WV R,DE,2020-03-13,NA,point,2.72
2020-10-05,WV R,DE,2020-03-14,NA,point,2.57
2020-10-05,WV R,DE,2020-03-15,NA,point,2.37
2020-10-05,WV R,DE,2020-03-16,NA,point,2.11
2020-10-05,WV R,DE,2020-03-17,NA,point,1.88
2020-10-05,WV R,DE,2020-03-18,NA,point,1.67
2020-10-05,WV R,DE,2020-03-19,NA,point,1.5
2020-10-05,WV R,DE,2020-03-20,NA,point,1.36
2020-10-05,WV R,DE,2020-03-21,NA,point,1.23
2020-10-05,WV R,DE,2020-03-22,NA,point,1.12
2020-10-05,WV R,DE,2020-03-23,NA,point,1.04
2020-10-05,WV R,DE,2020-03-24,NA,point,0.99
2020-10-05,WV R,DE,2020-03-25,NA,point,0.96
2020-10-05,WV R,DE,2020-03-26,NA,point,0.92
2020-10-05,WV R,DE,2020-03-27,NA,point,0.9
2020-10-05,WV R,DE,2020-03-28,NA,point,0.9
2020-10-05,WV R,DE,2020-03-29,NA,point,0.89
2020-10-05,WV R,DE,2020-03-30,NA,point,0.89
2020-10-05,WV R,DE,2020-03-31,NA,point,0.89
2020-10-05,WV R,DE,2020-04-01,NA,point,0.9
2020-10-05,WV R,DE,2020-04-02,NA,point,0.91
2020-10-05,WV R,DE,2020-04-03,NA,point,0.9
2020-10-05,WV R,DE,2020-04-04,NA,point,0.9
2020-10-05,WV R,DE,2020-04-05,NA,point,0.9
2020-10-05,WV R,DE,2020-04-06,NA,point,0.9
2020-10-05,WV R,DE,2020-04-07,NA,point,0.88
2020-10-05,WV R,DE,2020-04-08,NA,point,0.87
2020-10-05,WV R,DE,2020-04-09,NA,point,0.85
2020-10-05,WV R,DE,2020-04-10,NA,point,0.84
2020-10-05,WV R,DE,2020-04-11,NA,point,0.83
2020-10-05,WV R,DE,2020-04-12,NA,point,0.82
2020-10-05,WV R,DE,2020-04-13,NA,point,0.8
